"event","experiment time","system time","system time text"
"START",0.000000000E0,1625991887.639,"2021-07-11 11:24:47.639 UTC+03:00"
"PAUSE",1.006038949E2,1625991988.928,"2021-07-11 11:26:28.928 UTC+03:00"
