"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.063923990E0,-2.626037598E-1,-3.502502441E-1,9.892944336E0
8.164113199E0,-1.599121094E-2,-5.106658936E-1,9.600860596E0
8.264332925E0,1.659698486E-1,-1.108398438E-1,9.296798706E0
8.364552652E0,5.945281982E-1,-5.346069336E-1,9.524246216E0
8.464741861E0,1.779327393E-1,-3.933563232E-1,9.521850586E0
8.564931070E0,5.370635986E-1,-7.740325928E-1,9.718170166E0
8.665150796E0,5.849456787E-1,1.367187500E-2,9.789993286E0
8.765340005E0,1.195465088E0,-2.137908936E-1,9.373413086E0
8.865559732E0,9.105529785E-1,-4.005279541E-1,9.509872437E0
8.965748941E0,1.427703857E0,-6.279754639E-1,9.493118286E0
9.065968667E0,8.842163086E-1,-5.393981934E-1,9.658325195E0
9.166188394E0,1.212234497E0,-4.627838135E-1,9.837890625E0
9.266377603E0,5.179138184E-1,-8.075408936E-1,9.658325195E0
9.366597329E0,8.626708984E-1,-1.826629639E-1,9.347076416E0
9.466786538E0,1.339126587E0,-5.298156738E-1,9.761276245E0
9.566975747E0,8.459167480E-1,-1.228027344E-1,9.897735596E0
9.667195474E0,1.334335327E0,-2.568817139E-1,9.797180176E0
9.767384683E0,1.288848877E0,-5.034790039E-1,9.787612915E0
9.867634927E0,1.080551147E0,-5.417938232E-1,9.998291016E0
9.967824136E0,1.090118408E0,-3.454589844E-1,9.682266235E0
1.006801334E1,1.360671997E0,-5.010833740E-1,9.509872437E0
1.016823307E1,1.248138428E0,-5.106658936E-1,9.569732666E0
1.026842228E1,1.425308228E0,-2.329406738E-1,9.801971436E0
1.036864201E1,1.633605957E0,-1.778717041E-1,9.512268066E0
1.046883122E1,1.245742798E0,-5.202484131E-1,9.758880615E0
1.056905094E1,1.126037598E0,-3.191223145E-1,9.399749756E0
1.066924015E1,1.331939697E0,-5.848846436E-1,9.804367065E0
1.076945988E1,1.509109497E0,-3.622283936E-1,9.387771606E0
1.086964909E1,1.047027588E0,-5.274200439E-1,9.541000366E0
1.096986881E1,1.712615967E0,-3.646240234E-1,9.840270996E0
1.107005802E1,1.636001587E0,-4.747467041E-1,9.665496826E0
1.117027775E1,1.513900757E0,-5.729217529E-1,1.003421021E1
1.127046696E1,1.430099487E0,-1.156158447E-1,9.404525757E0
1.137071720E1,1.595306396E0,-1.347808838E-1,9.459594727E0
1.147087589E1,1.449249268E0,-2.377319336E-1,9.433258057E0
1.157109562E1,1.030273438E0,-7.141723633E-1,9.921676636E0
1.167128483E1,1.212234497E0,-3.957366943E-1,9.555374146E0
1.177150456E1,8.626708984E-1,-4.699707031E-1,9.751693726E0
1.187169377E1,1.202651978E0,1.693725586E-3,9.375808716E0
1.197191349E1,7.286071777E-1,-3.741912842E-1,9.464385986E0
1.207210270E1,3.048248291E-1,-4.388427734E-1,9.813934326E0
1.217232243E1,2.709960938E-2,-3.598327637E-1,9.572128296E0
1.227251164E1,-2.003479004E-1,-2.928009033E-1,9.852249146E0
1.237276188E1,2.066650391E-1,-5.250244141E-1,9.835494995E0
1.247295109E1,-3.032989502E-1,-3.981323242E-1,9.519454956E0
1.257314030E1,1.539916992E-1,-1.156158447E-1,9.557754517E0
1.267336003E1,2.090606689E-1,4.089355469E-3,9.543395996E0
1.277354923E1,1.539916992E-1,-3.574371338E-1,9.696624756E0
1.287376896E1,7.525482178E-1,-2.137908936E-1,9.473968506E0
1.297398869E1,4.748077393E-1,-3.119506836E-1,9.416503906E0
1.307417790E1,5.298767090E-1,-2.975769043E-1,9.509872437E0
1.317439762E1,2.449645996E-1,-3.023681641E-1,9.502700806E0
1.327458683E1,2.784881592E-1,-3.430786133E-1,9.739715576E0
1.337480656E1,7.333831787E-1,-3.215179443E-1,9.593673706E0
1.347499577E1,9.871673584E-1,-1.563262939E-1,9.859436035E0
1.357521549E1,4.628448486E-1,-3.023681641E-1,9.572128296E0
1.367540470E1,5.083312988E-1,-1.802673340E-1,9.691833496E0
1.377562443E1,6.232604980E-1,-3.550415039E-1,9.727752686E0
1.387581364E1,1.126037598E0,-3.694152832E-1,9.373413086E0
1.397603337E1,7.836608887E-1,-2.113952637E-1,9.768447876E0
1.407622257E1,5.753784180E-1,-1.587219238E-1,9.471572876E0
1.417644230E1,5.155181885E-1,-3.454589844E-1,9.526641846E0
1.427663151E1,2.138519287E-1,-2.640686035E-1,9.246520996E0
1.437688175E1,2.832794189E-1,-3.334960938E-1,1.001745605E1
1.447707096E1,4.149627686E-1,-5.824890137E-1,9.849853516E0
1.457726017E1,4.891815186E-1,-4.244689941E-1,9.505096436E0
1.467744938E1,6.926879883E-1,-3.095550537E-1,9.809158325E0
1.477766911E1,1.080551147E0,-5.585479736E-1,9.751693726E0
1.487785832E1,6.807098389E-1,-2.712402344E-1,9.507476807E0
1.497807804E1,8.459167480E-1,-4.460296631E-1,9.562545776E0
1.507829777E1,9.847869873E-1,-5.944671631E-1,9.687042236E0
1.517848698E1,1.003936768E0,-6.638946533E-1,1.000547791E1
1.527870670E1,1.145187378E0,-3.047637939E-1,9.572128296E0
1.537892643E1,1.006332397E0,-5.250244141E-1,9.722961426E0
1.547911564E1,1.202651978E0,-3.430786133E-1,9.631988525E0
1.557930485E1,1.056610107E0,-8.769836426E-1,9.481140137E0
1.567952458E1,8.531036377E-1,-6.279754639E-1,9.098068237E0
1.577971378E1,1.154769897E0,-1.946258545E-1,9.852249146E0
1.587993351E1,5.897369385E-1,-7.883911133E-1,9.732543945E0
1.598015324E1,5.801544189E-1,-4.172973633E-1,9.699020386E0
1.608034245E1,3.958129883E-1,-4.627838135E-1,9.703811646E0
1.618050714E1,5.370635986E-1,-5.010833740E-1,9.572128296E0
1.628075739E1,2.808837891E-1,-3.478546143E-1,9.660705566E0
1.638097711E1,-1.788024902E-1,-4.939117432E-1,9.574523926E0
1.648116632E1,5.822753906E-2,-1.108398438E-1,9.842666626E0
1.658135553E1,3.838348389E-1,-7.716369629E-1,9.892944336E0
1.668154474E1,9.652709961E-2,-2.353363037E-1,9.538604736E0
1.678176447E1,4.125671387E-1,-7.285308838E-1,9.366226196E0
1.688195368E1,5.059356689E-1,-7.213592529E-1,9.840270996E0
1.698217340E1,4.341125488E-1,-3.957366943E-1,9.670288086E0
