"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.095326577E0,-1.512908936E1,-1.665954590E1,-1.187408447E2
9.196034585E0,-1.573028564E1,-1.544952393E1,-1.202407837E2
9.296742593E0,-1.662902832E1,-1.822052002E1,-1.178405762E2
9.397481118E0,-1.723022461E1,-1.752929688E1,-1.190399170E2
9.499531900E0,-1.662902832E1,-1.717987061E1,-1.172409058E2
9.599721109E0,-1.573028564E1,-1.683959961E1,-1.184402466E2
9.699910318E0,-1.632995605E1,-1.925964355E1,-1.184402466E2
9.800282632E0,-1.692962646E1,-1.562042236E1,-1.199401855E2
9.900990640E0,-1.662902832E1,-1.613922119E1,-1.190399170E2
1.000169865E1,-1.782989502E1,-1.596984863E1,-1.205398560E2
1.010240666E1,-1.782989502E1,-1.840057373E1,-1.181396484E2
1.020311466E1,-1.483001709E1,-1.735992432E1,-1.169403076E2
1.030382267E1,-1.632995605E1,-1.631927490E1,-1.193405151E2
1.040453068E1,-1.632995605E1,-1.925964355E1,-1.184402466E2
1.050658146E1,-1.662902832E1,-1.580047607E1,-1.196395874E2
1.060677067E1,-1.632995605E1,-1.580047607E1,-1.214401245E2
1.070699040E1,-1.723022461E1,-1.840057373E1,-1.193405151E2
1.080736271E1,-1.662902832E1,-1.562042236E1,-1.181396484E2
1.090807072E1,-1.602935791E1,-1.580047607E1,-1.202407837E2
1.100877873E1,-1.662902832E1,-1.856994629E1,-1.184402466E2
1.110948673E1,-1.662902832E1,-1.580047607E1,-1.202407837E2
1.121019474E1,-1.662902832E1,-1.528015137E1,-1.211395264E2
1.131090275E1,-1.692962646E1,-1.856994629E1,-1.178405762E2
1.141344181E1,-1.632995605E1,-1.631927490E1,-1.175399780E2
1.151363102E1,-1.632995605E1,-1.580047607E1,-1.190399170E2
1.161382023E1,-1.692962646E1,-1.943969727E1,-1.175399780E2
1.171403996E1,-1.662902832E1,-1.735992432E1,-1.181396484E2
1.181444279E1,-1.602935791E1,-1.665954590E1,-1.181396484E2
1.191515080E1,-1.782989502E1,-1.822052002E1,-1.166397095E2
1.201585880E1,-1.632995605E1,-1.717987061E1,-1.166397095E2
1.211656681E1,-1.632995605E1,-1.701049805E1,-1.187408447E2
1.221727482E1,-1.782989502E1,-1.631927490E1,-1.181396484E2
1.231798283E1,-1.692962646E1,-1.580047607E1,-1.202407837E2
1.242049137E1,-1.662902832E1,-1.822052002E1,-1.190399170E2
1.252068058E1,-1.723022461E1,-1.562042236E1,-1.211395264E2
1.262090031E1,-1.573028564E1,-1.631927490E1,-1.169403076E2
1.272108952E1,-1.692962646E1,-1.891937256E1,-1.184402466E2
1.282152287E1,-1.573028564E1,-1.701049805E1,-1.187408447E2
1.292223087E1,-1.632995605E1,-1.596984863E1,-1.193405151E2
1.302293888E1,-1.692962646E1,-1.856994629E1,-1.178405762E2
1.312364689E1,-1.542968750E1,-1.735992432E1,-1.187408447E2
1.322435490E1,-1.602935791E1,-1.717987061E1,-1.160400391E2
1.332506291E1,-1.692962646E1,-1.891937256E1,-1.184402466E2
1.342757145E1,-1.573028564E1,-1.840057373E1,-1.169403076E2
1.352776066E1,-1.632995605E1,-1.649017334E1,-1.190399170E2
1.362794987E1,-1.782989502E1,-1.717987061E1,-1.214401245E2
1.372816960E1,-1.662902832E1,-1.665954590E1,-1.181396484E2
1.382860294E1,-1.662902832E1,-1.735992432E1,-1.187408447E2
1.392931095E1,-1.752929688E1,-1.596984863E1,-1.205398560E2
1.403001896E1,-1.632995605E1,-1.631927490E1,-1.193405151E2
1.413072697E1,-1.542968750E1,-1.717987061E1,-1.178405762E2
1.423143498E1,-1.723022461E1,-1.510925293E1,-1.202407837E2
1.433214298E1,-1.692962646E1,-1.596984863E1,-1.175399780E2
1.443462101E1,-1.692962646E1,-1.840057373E1,-1.163406372E2
1.453484074E1,-1.573028564E1,-1.649017334E1,-1.178405762E2
1.463502995E1,-1.602935791E1,-1.596984863E1,-1.181396484E2
1.473524967E1,-1.632995605E1,-1.994934082E1,-1.154403687E2
1.483568302E1,-1.723022461E1,-1.562042236E1,-1.193405151E2
1.493639103E1,-1.573028564E1,-1.631927490E1,-1.193405151E2
1.503709904E1,-1.723022461E1,-1.977996826E1,-1.181396484E2
1.513780705E1,-1.692962646E1,-1.735992432E1,-1.181396484E2
1.523851505E1,-1.692962646E1,-1.822052002E1,-1.166397095E2
1.533922306E1,-1.873016357E1,-1.943969727E1,-1.169403076E2
1.544170109E1,-1.782989502E1,-1.752929688E1,-1.178405762E2
1.554189030E1,-1.662902832E1,-1.891937256E1,-1.154403687E2
1.564207951E1,-1.902923584E1,-1.683959961E1,-1.178405762E2
1.574229923E1,-1.812896729E1,-1.613922119E1,-1.166397095E2
1.584276310E1,-1.723022461E1,-1.961059570E1,-1.160400391E2
1.594347111E1,-1.692962646E1,-1.735992432E1,-1.181396484E2
1.604417912E1,-1.692962646E1,-1.735992432E1,-1.181396484E2
1.614486261E1,-1.902923584E1,-1.909027100E1,-1.169403076E2
1.624557062E1,-1.842956543E1,-1.683959961E1,-1.196395874E2
1.634627863E1,-1.812896729E1,-1.683959961E1,-1.172409058E2
1.644875665E1,-1.962890625E1,-1.717987061E1,-1.166397095E2
1.654894586E1,-1.873016357E1,-1.580047607E1,-1.160400391E2
1.664913507E1,-1.692962646E1,-1.788024902E1,-1.136398315E2
1.674935480E1,-1.873016357E1,-1.544952393E1,-1.172409058E2
1.684984918E1,-1.812896729E1,-1.528015137E1,-1.163406372E2
1.695052667E1,-1.812896729E1,-1.856994629E1,-1.148406982E2
1.705123468E1,-1.723022461E1,-1.562042236E1,-1.169403076E2
1.715194269E1,-1.692962646E1,-1.510925293E1,-1.178405762E2
1.725265070E1,-1.782989502E1,-1.822052002E1,-1.154403687E2
1.735335870E1,-1.752929688E1,-1.683959961E1,-1.160400391E2
1.745580622E1,-1.692962646E1,-1.596984863E1,-1.175399780E2
1.755599542E1,-1.962890625E1,-1.596984863E1,-1.169403076E2
1.765621515E1,-1.842956543E1,-1.459045410E1,-1.175399780E2
1.775643488E1,-1.812896729E1,-1.717987061E1,-1.172409058E2
1.785689874E1,-1.902923584E1,-1.407012939E1,-1.190399170E2
1.795760675E1,-1.812896729E1,-1.389007568E1,-1.229400635E2
1.805831476E1,-1.873016357E1,-1.683959961E1,-1.184402466E2
1.815902277E1,-1.752929688E1,-1.562042236E1,-1.181396484E2
1.825973078E1,-1.752929688E1,-1.562042236E1,-1.175399780E2
1.836043878E1,-1.962890625E1,-1.528015137E1,-1.193405151E2
1.846288629E1,-1.812896729E1,-1.475982666E1,-1.172409058E2
1.856307550E1,-1.873016357E1,-1.492919922E1,-1.193405151E2
1.866326471E1,-1.812896729E1,-1.441040039E1,-1.196395874E2
1.876348444E1,-1.782989502E1,-1.459045410E1,-1.193405151E2
1.886397882E1,-1.812896729E1,-1.770019531E1,-1.175399780E2
1.896468683E1,-1.662902832E1,-1.665954590E1,-1.175399780E2
1.906539484E1,-1.842956543E1,-1.580047607E1,-1.178405762E2
1.916610285E1,-1.962890625E1,-1.528015137E1,-1.187408447E2
1.926681085E1,-1.812896729E1,-1.475982666E1,-1.178405762E2
1.936751886E1,-1.873016357E1,-1.665954590E1,-1.163406372E2
1.946993585E1,-1.873016357E1,-1.389007568E1,-1.199401855E2
1.957015558E1,-1.662902832E1,-1.528015137E1,-1.181396484E2
1.967034479E1,-1.782989502E1,-1.856994629E1,-1.172409058E2
1.977056452E1,-1.842956543E1,-1.441040039E1,-1.190399170E2
1.987105890E1,-1.723022461E1,-1.613922119E1,-1.184402466E2
1.997176691E1,-1.902923584E1,-1.562042236E1,-1.199401855E2
2.007247492E1,-1.842956543E1,-1.459045410E1,-1.169403076E2
2.017318292E1,-1.602935791E1,-1.407012939E1,-1.160400391E2
2.027389093E1,-1.662902832E1,-9.559631348E0,-1.160400391E2
2.037459894E1,-1.333007812E1,-3.340148926E0,-1.160400391E2
2.047701593E1,-1.242980957E1,-6.959533691E0,-1.139404297E2
2.057723566E1,-9.729003906E0,1.296997070E-1,-1.136398315E2
2.067742487E1,-4.629516602E0,-3.680419922E0,-1.124404907E2
2.077761408E1,7.971191406E0,-7.479858398E0,-1.088409424E2
2.087813898E1,4.969787598E0,-9.039306641E0,-1.097396851E2
2.097884699E1,4.370117188E0,-1.112060547E1,-1.079406738E2
2.107955499E1,4.370117188E0,-9.910583496E0,-1.070404053E2
2.118026300E1,1.670837402E0,-1.268005371E1,-1.070404053E2
2.128097101E1,3.770446777E0,-1.649017334E1,-1.040405273E2
2.138167902E1,-4.287719727E-1,1.339721680E0,-1.163406372E2
2.148409601E1,-1.092987061E1,4.620056152E1,-1.052398682E2
2.158428522E1,-2.563018799E1,6.056976318E1,-6.473999023E1
2.168447443E1,-2.532958984E1,6.040039062E1,-2.424011230E1
2.178469415E1,-2.352905273E1,4.741058350E1,-5.340576172E0
2.188521906E1,-2.652893066E1,3.874969482E1,1.860046387E0
2.198592706E1,-3.013000488E1,2.767028809E1,-5.401611328E-1
2.208663507E1,-3.403015137E1,1.726989746E1,-4.740905762E0
2.218734308E1,-3.403015137E1,7.920837402E0,-4.740905762E0
2.228805109E1,-3.253021240E1,-5.035400391E-2,-6.539916992E0
2.238878961E1,-3.132934570E1,-3.680419922E0,-5.639648438E0
2.249117609E1,-3.072967529E1,6.500244141E-1,-3.540039062E0
2.259136530E1,-3.042907715E1,6.500244141E-1,-4.139709473E0
2.269158502E1,-3.103027344E1,-5.035400391E-2,-5.940246582E0
2.279177423E1,-2.772979736E1,1.296997070E-1,-1.284027100E1
2.289229914E1,-2.592926025E1,-2.299499512E0,-1.464080811E1
2.299300714E1,-2.532958984E1,-4.029846191E0,-1.643981934E1
2.309371515E1,-2.202911377E1,-6.280517578E0,-1.793975830E1
2.319442316E1,-1.873016357E1,-1.060028076E1,-2.004089355E1
2.329513117E1,-1.752929688E1,-1.320037842E1,-1.974029541E1
2.339583917E1,-1.812896729E1,-1.336975098E1,-1.943969727E1
2.349822565E1,-2.052917480E1,-1.284942627E1,-1.793975830E1
2.359841486E1,-2.023010254E1,-1.354980469E1,-1.614074707E1
2.369863458E1,-2.142944336E1,-1.302947998E1,-1.764068604E1
2.379885431E1,-1.992950439E1,-1.199035645E1,-1.943969727E1
2.389937921E1,-1.842956543E1,-1.128997803E1,-2.064056396E1
2.400008722E1,-2.023010254E1,-1.199035645E1,-2.004089355E1
2.410079523E1,-1.962890625E1,-1.181030273E1,-2.093963623E1
2.420150324E1,-2.052917480E1,-1.284942627E1,-1.974029541E1
2.430221124E1,-1.932983398E1,-1.423950195E1,-1.854095459E1
2.440291925E1,-1.842956543E1,-1.423950195E1,-1.914062500E1
2.450530573E1,-1.992950439E1,-1.320037842E1,-2.033996582E1
2.460549494E1,-1.992950439E1,-1.336975098E1,-2.064056396E1
2.470571466E1,-1.992950439E1,-1.492919922E1,-1.854095459E1
2.480593439E1,-2.082977295E1,-1.302947998E1,-1.943969727E1
2.490645929E1,-1.873016357E1,-1.336975098E1,-2.064056396E1
2.500716730E1,-1.932983398E1,-1.320037842E1,-2.033996582E1
2.510787531E1,-1.873016357E1,-1.336975098E1,-2.124023438E1
2.520858331E1,-1.812896729E1,-1.459045410E1,-1.914062500E1
2.530929132E1,-1.932983398E1,-1.336975098E1,-2.183990479E1
2.530724665E1,-9.729003906E0,-1.788024902E1,-2.124023438E1
2.540795465E1,-1.033020020E1,-1.752929688E1,-1.884002686E1
2.550866266E1,-1.272888184E1,-1.510925293E1,-2.183990479E1
2.560937067E1,-1.272888184E1,-1.649017334E1,-2.124023438E1
2.571007868E1,-1.362915039E1,-1.596984863E1,-2.214050293E1
2.581078668E1,-1.183013916E1,-1.701049805E1,-2.093963623E1
2.591323419E1,-1.452941895E1,-1.717987061E1,-2.124023438E1
2.601345392E1,-1.272888184E1,-1.683959961E1,-2.124023438E1
2.611364313E1,-1.183013916E1,-1.596984863E1,-2.274017334E1
2.621386286E1,-1.033020020E1,-1.840057373E1,-2.033996582E1
2.631432672E1,-1.183013916E1,-1.770019531E1,-2.033996582E1
2.641506525E1,-1.033020020E1,-1.804962158E1,-2.093963623E1
2.651574274E1,-9.129333496E0,-1.925964355E1,-2.124023438E1
2.661645075E1,-1.033020020E1,-1.735992432E1,-2.154083252E1
2.671715875E1,-8.830261230E0,-1.994934082E1,-1.943969727E1
2.681786676E1,-8.529663086E0,-1.909027100E1,-2.154083252E1
2.692031427E1,-9.729003906E0,-1.873931885E1,-2.033996582E1
2.702053400E1,-8.830261230E0,-1.925964355E1,-2.124023438E1
2.712075372E1,-8.229064941E0,-1.961059570E1,-1.943969727E1
2.722094293E1,-9.729003906E0,-1.856994629E1,-2.183990479E1
2.732140680E1,-9.129333496E0,-1.840057373E1,-2.033996582E1
2.742211481E1,-1.033020020E1,-1.925964355E1,-2.064056396E1
