"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.269908756E0,1.724594116E0,6.872558594E-2,1.025686646E1
8.370189518E0,9.345092773E-1,6.632995605E-2,9.837890625E0
8.470378727E0,7.549438477E-1,3.201293945E-1,8.987945557E0
8.570628971E0,1.118850708E0,1.908416748E-1,9.600860596E0
8.670879215E0,1.487564087E0,1.070404053E-1,9.598464966E0
8.771098942E0,1.080551147E0,1.932220459E-1,1.011801147E1
8.871349186E0,6.567687988E-1,2.291412354E-1,9.117233276E0
8.971568912E0,1.260116577E0,2.674560547E-1,9.126800537E0
9.071849674E0,1.552200317E0,1.669006348E-1,1.009407043E1
9.172069401E0,9.464721680E-1,3.042602539E-2,9.713378906E0
9.272289127E0,6.974792480E-1,3.823699951E-1,9.517059326E0
9.372539371E0,1.394195557E0,1.860504150E-1,8.947235107E0
9.472759098E0,1.176315308E0,5.915832520E-2,1.011322021E1
9.573009342E0,9.632263184E-1,2.482910156E-1,9.962387085E0
9.673259586E0,7.333831787E-1,2.291412354E-1,9.076522827E0
9.773479313E0,5.777587891E-1,1.205978394E0,8.248138428E0
9.873729557E0,9.536590576E-1,-2.185668945E-1,8.367843628E0
9.973949284E0,1.090118408E0,1.453399658E-1,1.018504333E1
1.007419953E1,7.286071777E-1,1.429443359E-1,9.189056396E0
1.017444977E1,1.712615967E0,3.775787354E-1,9.186660767E0
1.027466950E1,1.128433228E0,-1.156158447E-1,1.005815125E1
1.037491974E1,6.974792480E-1,2.554779053E-1,9.476364136E0
1.047516999E1,8.267669678E-1,7.351684570E-2,9.579315186E0
1.057538971E1,1.506713867E0,4.374389648E-1,9.263275146E0
1.067563996E1,1.317581177E0,2.803039551E-2,9.746902466E0
1.077589020E1,8.770446777E-1,-1.251983643E-1,9.620010376E0
1.087610993E1,8.914031982E-1,2.794189453E-1,9.938446045E0
1.097626666E1,1.228988647E0,2.052001953E-1,9.940841675E0
1.107651691E1,1.171524048E0,1.367187500E-2,9.715774536E0
1.117676715E1,9.368896484E-1,1.621093750E-1,9.442840576E0
1.127698688E1,1.169128418E0,-2.224731445E-2,9.490722656E0
1.137723712E1,9.943542480E-1,1.812591553E-1,9.435653687E0
1.147748737E1,1.140396118E0,2.315368652E-1,9.576919556E0
1.157773761E1,1.145187378E0,2.578735352E-1,9.749298096E0
1.167795734E1,1.274475098E0,1.597137451E-1,9.651138306E0
1.177817706E1,1.219406128E0,6.155395508E-2,9.354248047E0
1.187842731E1,1.825149536E0,-2.975769043E-1,9.162719727E0
1.197864703E1,9.488677979E-1,3.488464355E-1,9.014282227E0
1.207889728E1,1.671920776E0,1.309814453E-1,9.402145386E0
1.217914752E1,8.626708984E-1,5.676269531E-2,1.046037292E1
1.227936725E1,6.232604980E-1,2.219543457E-1,8.899353027E0
1.237961749E1,1.315185547E0,2.363281250E-1,9.253692627E0
1.247983722E1,1.406158447E0,2.339324951E-1,9.871398926E0
1.258008746E1,1.023086548E0,-7.888793945E-3,9.926467896E0
1.268033771E1,8.387298584E-1,3.871612549E-1,8.664718628E0
1.278055743E1,1.382217407E0,-1.028442383E-2,1.022096252E1
1.288080768E1,4.173583984E-1,5.595397949E-1,1.027601624E1
1.298102740E1,1.468414307E0,-3.900146484E-2,8.925689697E0
1.308127765E1,1.444473267E0,2.818145752E-1,9.744506836E0
1.318152789E1,8.147888184E-1,-7.888793945E-3,1.015631104E1
1.328174762E1,1.147583008E0,1.932220459E-1,9.031036377E0
1.338199786E1,9.009857178E-1,2.171783447E-1,9.351867676E0
1.348224811E1,1.353485107E0,1.669006348E-1,9.828308105E0
1.358249835E1,1.140396118E0,-7.019042969E-4,9.813934326E0
1.368274860E1,7.405700684E-1,1.597137451E-1,8.983154297E0
1.378293781E1,1.415740967E0,4.398345947E-1,9.430862427E0
1.388318805E1,1.298416138E0,1.844787598E-2,9.928863525E0
1.398340778E1,8.195800781E-1,1.118316650E-1,9.655929565E0
1.408365802E1,9.345092773E-1,1.525268555E-1,9.086105347E0
1.418390826E1,1.501922607E0,2.985687256E-1,9.368621826E0
1.428415851E1,9.177398682E-1,1.605224609E-2,1.026884460E1
