"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.794048161E0,-6.271362305E-3,5.950927734E-4,-1.205444336E-2
8.894298405E0,1.289367676E-2,-1.644897461E-2,-9.918212891E-3
8.994548649E0,2.243041992E-3,5.950927734E-4,1.670837402E-2
9.094798893E0,-1.159667969E-2,9.109497070E-3,1.245117188E-2
9.195018619E0,-4.150390625E-3,-6.866455078E-3,-9.918212891E-3
9.295238346E0,1.220703125E-4,-2.609252930E-3,-7.781982422E-3
9.395488590E0,7.568359375E-3,-6.866455078E-3,4.989624023E-3
9.495738834E0,-9.475708008E-3,1.017761230E-2,1.458740234E-2
9.595958561E0,-8.407592773E-3,2.716064453E-3,-2.270507812E-2
9.696208805E0,9.704589844E-3,-9.002685547E-3,-1.417541504E-2
9.796428532E0,4.060363770E-2,-2.070617676E-2,-5.039978027E-2
9.896678776E0,-2.012634277E-2,3.468322754E-2,-1.098632812E-2
9.996929020E0,-4.150390625E-3,-1.538085938E-2,-1.524353027E-2
1.009714875E1,5.447387695E-3,-4.730224609E-3,-2.456665039E-3
1.019739899E1,2.243041992E-3,5.920410156E-3,6.057739258E-3
1.029764924E1,-7.339477539E-3,3.784179688E-3,-3.356933594E-4
1.039786896E1,-6.271362305E-3,-4.730224609E-3,-9.918212891E-3
1.049811920E1,1.289367676E-2,1.663208008E-3,3.936767578E-3
1.059833893E1,7.568359375E-3,-3.662109375E-3,1.138305664E-2
1.069858918E1,-1.373291016E-2,1.443481445E-2,-2.456665039E-3
1.079880890E1,-9.460449219E-4,-1.432800293E-2,-2.056884766E-2
1.089905915E1,-1.373291016E-2,1.017761230E-2,1.031494141E-2
1.099924640E1,-6.271362305E-3,1.663208008E-3,-4.592895508E-3
1.109946613E1,-2.014160156E-3,-4.730224609E-4,7.324218750E-4
1.119971637E1,-9.460449219E-4,-1.541137695E-3,-3.356933594E-4
1.129993610E1,1.220703125E-4,3.784179688E-3,-3.524780273E-3
1.140018634E1,2.243041992E-3,-1.541137695E-3,7.125854492E-3
1.150043659E1,1.220703125E-4,-4.730224609E-4,1.670837402E-2
1.160065631E1,8.636474609E-3,-6.866455078E-3,1.031494141E-2
1.170090656E1,-3.082275391E-3,9.109497070E-3,-1.098632812E-2
1.180112628E1,6.515502930E-3,5.920410156E-3,-9.918212891E-3
1.190137653E1,1.077270508E-2,1.443481445E-2,-5.039978027E-2
1.200159625E1,2.243041992E-3,1.443481445E-2,-3.974914551E-2
1.210184650E1,-1.159667969E-2,1.976013184E-2,-1.205444336E-2
1.220209674E1,-1.373291016E-2,1.663208008E-3,-8.850097656E-3
