"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.418285221E0,4.981536865E1,-1.748657227E1,-2.937316895E0
9.520549625E0,4.981536865E1,-1.644592285E1,-1.737976074E0
9.620769352E0,4.891510010E1,-1.679687500E1,-4.737854004E0
9.721019596E0,4.981536865E1,-1.748657227E1,-1.737976074E0
9.821269840E0,5.011596680E1,-1.731567383E1,-3.237915039E0
9.921825260E0,4.771575928E1,-1.713562012E1,-1.737976074E0
1.002253327E1,4.921569824E1,-1.627655029E1,-4.437255859E0
1.012324128E1,4.831542969E1,-1.713562012E1,-2.337646484E0
1.022394928E1,4.981536865E1,-1.592559814E1,-2.638244629E0
1.032465729E1,4.831542969E1,-1.679687500E1,-3.536987305E0
1.042536530E1,4.951477051E1,-1.627655029E1,-2.037048340E0
1.052610382E1,4.981536865E1,-1.765594482E1,-2.037048340E0
1.062815461E1,5.011596680E1,-1.800689697E1,-8.377075195E-1
1.072840485E1,4.921569824E1,-1.627655029E1,-3.237915039E0
1.082865509E1,4.891510010E1,-1.679687500E1,-3.536987305E0
1.092884235E1,5.041503906E1,-1.765594482E1,-3.237915039E0
1.102955035E1,4.981536865E1,-1.696624756E1,-2.638244629E0
1.113025836E1,4.981536865E1,-1.696624756E1,-1.437377930E0
1.123096637E1,4.891510010E1,-1.696624756E1,-3.237915039E0
1.133167438E1,4.951477051E1,-1.731567383E1,-2.380371094E-1
1.143238238E1,4.861602783E1,-1.679687500E1,-2.937316895E0
1.153309039E1,4.951477051E1,-1.592559814E1,-2.638244629E0
1.163550738E1,4.831542969E1,-1.661682129E1,-3.237915039E0
1.173572711E1,4.891510010E1,-1.609649658E1,-2.337646484E0
1.183597736E1,4.951477051E1,-1.713562012E1,1.261901855E0
1.193619708E1,4.891510010E1,-1.679687500E1,-5.371093750E-1
1.203663043E1,4.951477051E1,-1.575622559E1,-2.337646484E0
1.213733844E1,4.891510010E1,-1.661682129E1,-1.437377930E0
1.223804645E1,4.771575928E1,-1.696624756E1,-1.437377930E0
1.233875446E1,4.951477051E1,-1.783599854E1,-5.371093750E-1
1.243946246E1,5.011596680E1,-1.783599854E1,1.863098145E0
1.254017047E1,5.011596680E1,-1.800689697E1,3.631591797E-1
1.264087848E1,4.861602783E1,-1.696624756E1,-8.377075195E-1
1.274314288E1,4.891510010E1,-1.644592285E1,-5.371093750E-1
1.284336261E1,4.921569824E1,-1.731567383E1,1.562500000E0
1.294361285E1,4.891510010E1,-1.765594482E1,-1.437377930E0
1.304386310E1,4.981536865E1,-1.765594482E1,-1.437377930E0
1.314438800E1,5.011596680E1,-1.869659424E1,2.761840820E0
1.324512653E1,4.981536865E1,-1.765594482E1,-1.437377930E0
1.334583453E1,4.921569824E1,-1.800689697E1,1.562500000E0
1.344654254E1,4.981536865E1,-1.869659424E1,-1.437377930E0
1.354725055E1,4.981536865E1,-1.869659424E1,3.631591797E-1
1.364795856E1,4.891510010E1,-1.765594482E1,-2.380371094E-1
1.374866656E1,5.011596680E1,-1.835632324E1,2.162170410E0
1.385074786E1,4.921569824E1,-1.713562012E1,-5.371093750E-1
1.395102863E1,4.891510010E1,-1.765594482E1,3.631591797E-1
1.405124835E1,4.981536865E1,-1.869659424E1,3.631591797E-1
1.415149860E1,4.981536865E1,-1.904602051E1,2.761840820E0
1.425220660E1,5.011596680E1,-1.835632324E1,2.162170410E0
1.435291461E1,5.011596680E1,-1.835632324E1,2.162170410E0
1.445365314E1,5.131530762E1,-1.904602051E1,9.628295898E-1
1.455433063E1,4.981536865E1,-1.817626953E1,2.462768555E0
1.465503864E1,5.041503906E1,-1.783599854E1,6.622314453E-1
1.475574664E1,5.011596680E1,-1.800689697E1,-8.377075195E-1
1.485816364E1,4.921569824E1,-1.852569580E1,1.863098145E0
1.495838336E1,5.041503906E1,-1.887664795E1,1.261901855E0
1.505863361E1,4.951477051E1,-1.783599854E1,1.261901855E0
1.515888385E1,4.951477051E1,-1.904602051E1,9.628295898E-1
1.525928668E1,5.041503906E1,-1.869659424E1,9.628295898E-1
1.535999469E1,4.981536865E1,-1.835632324E1,2.162170410E0
1.546070270E1,4.981536865E1,-1.887664795E1,6.256103516E-2
1.556141071E1,4.861602783E1,-1.800689697E1,1.562500000E0
1.566211871E1,4.891510010E1,-1.835632324E1,1.562500000E0
1.576282672E1,4.921569824E1,-1.783599854E1,-1.737976074E0
1.586356525E1,5.041503906E1,-1.731567383E1,9.628295898E-1
1.596579913E1,4.981536865E1,-1.800689697E1,2.162170410E0
1.606601886E1,4.951477051E1,-1.731567383E1,-2.380371094E-1
1.616629962E1,4.951477051E1,-1.869659424E1,-8.377075195E-1
1.626651935E1,4.921569824E1,-1.713562012E1,-5.371093750E-1
1.636707477E1,4.951477051E1,-1.904602051E1,9.628295898E-1
1.646778278E1,4.981536865E1,-1.800689697E1,9.628295898E-1
1.656849078E1,4.921569824E1,-1.800689697E1,-2.380371094E-1
1.666919879E1,4.981536865E1,-1.835632324E1,1.562500000E0
1.676990680E1,4.921569824E1,-1.852569580E1,1.863098145E0
1.687061481E1,4.861602783E1,-1.800689697E1,-2.380371094E-1
1.697132282E1,4.831542969E1,-1.748657227E1,-5.371093750E-1
1.707343463E1,4.951477051E1,-1.869659424E1,3.631591797E-1
1.717365436E1,5.041503906E1,-1.921691895E1,6.622314453E-1
1.727390460E1,4.951477051E1,-1.731567383E1,3.631591797E-1
1.737415485E1,4.951477051E1,-1.731567383E1,3.631591797E-1
1.747486285E1,4.981536865E1,-1.731567383E1,9.628295898E-1
1.757557086E1,4.801483154E1,-1.748657227E1,1.863098145E0
1.767627887E1,4.951477051E1,-1.869659424E1,3.631591797E-1
1.777698688E1,4.951477051E1,-1.835632324E1,3.631591797E-1
1.787769488E1,4.951477051E1,-1.800689697E1,-2.380371094E-1
1.797840289E1,4.951477051E1,-1.835632324E1,1.562500000E0
1.808081988E1,4.981536865E1,-1.904602051E1,9.628295898E-1
1.818107013E1,4.891510010E1,-1.800689697E1,-2.380371094E-1
1.828128986E1,4.921569824E1,-1.835632324E1,-2.380371094E-1
1.838154010E1,4.951477051E1,-1.852569580E1,-5.371093750E-1
1.848194293E1,4.921569824E1,-1.852569580E1,1.863098145E0
1.858265094E1,4.951477051E1,-1.783599854E1,2.462768555E0
1.868335895E1,4.951477051E1,-1.783599854E1,1.261901855E0
1.878406696E1,5.011596680E1,-1.835632324E1,3.631591797E-1
1.888477496E1,4.891510010E1,-1.852569580E1,-5.371093750E-1
1.898548297E1,5.011596680E1,-1.748657227E1,6.256103516E-2
1.908619098E1,4.891510010E1,-1.765594482E1,3.631591797E-1
1.918845538E1,4.921569824E1,-1.817626953E1,-1.737976074E0
1.928870563E1,4.891510010E1,-1.783599854E1,-1.136779785E0
1.938892535E1,4.921569824E1,-1.817626953E1,-1.737976074E0
1.948917560E1,4.891510010E1,-1.713562012E1,-1.136779785E0
1.958973102E1,4.891510010E1,-1.800689697E1,1.562500000E0
1.969043903E1,4.861602783E1,-1.783599854E1,6.622314453E-1
1.979114703E1,4.981536865E1,-1.904602051E1,9.628295898E-1
1.989185504E1,4.981536865E1,-1.852569580E1,6.622314453E-1
1.999256305E1,4.891510010E1,-1.800689697E1,-1.437377930E0
2.009327106E1,4.921569824E1,-1.800689697E1,1.562500000E0
2.019397906E1,4.891510010E1,-1.835632324E1,-8.377075195E-1
2.029609088E1,5.011596680E1,-1.938629150E1,3.631591797E-1
2.039634113E1,4.921569824E1,-1.765594482E1,-2.638244629E0
2.049656085E1,4.831542969E1,-1.748657227E1,-3.536987305E0
2.059681110E1,4.981536865E1,-1.748657227E1,-1.737976074E0
2.069751910E1,4.951477051E1,-1.904602051E1,3.631591797E-1
2.079822711E1,4.921569824E1,-1.731567383E1,-8.377075195E-1
2.089893512E1,4.861602783E1,-1.800689697E1,1.562500000E0
2.099968555E1,4.891510010E1,-1.852569580E1,6.622314453E-1
2.110039356E1,4.921569824E1,-1.852569580E1,-5.371093750E-1
2.120110157E1,4.951477051E1,-1.817626953E1,-5.371093750E-1
2.130351856E1,5.011596680E1,-1.887664795E1,-1.136779785E0
2.140376880E1,4.921569824E1,-1.869659424E1,3.631591797E-1
2.150401905E1,4.951477051E1,-1.989593506E1,2.462768555E0
2.160423878E1,4.891510010E1,-1.921691895E1,6.256103516E-2
2.170464161E1,4.951477051E1,-1.852569580E1,6.256103516E-2
2.180534962E1,4.891510010E1,-1.783599854E1,-1.136779785E0
2.190605762E1,4.981536865E1,-1.852569580E1,6.256103516E-2
2.200676563E1,4.951477051E1,-1.904602051E1,9.628295898E-1
2.210747364E1,4.981536865E1,-1.765594482E1,-2.380371094E-1
2.220818165E1,4.951477051E1,-1.696624756E1,-2.638244629E0
2.230892017E1,4.981536865E1,-1.817626953E1,2.462768555E0
