"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.517071915E1,4.092580701E1,2.934310987E1,1.210463707E2,3.000000119E-1,1.948000031E2,4.550999641E0,0.000000000E0
4.617011410E1,4.092581165E1,2.934310974E1,1.220463902E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
4.716731410E1,4.092581411E1,2.934311053E1,1.230464021E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
4.816828342E1,4.092581100E1,2.934311146E1,1.230463906E2,7.099999785E-1,1.926000061E2,4.550999641E0,0.000000000E0
4.916985388E1,4.092580067E1,2.934310722E1,1.220463387E2,1.330000043E0,1.938999939E2,4.550999641E0,0.000000000E0
5.016537956E1,4.092578548E1,2.934309707E1,1.220462552E2,1.629999995E0,1.945000000E2,4.550999641E0,0.000000000E0
5.116780316E1,4.092576046E1,2.934308484E1,1.220461260E2,2.299999952E0,1.945000000E2,6.067999840E0,0.000000000E0
5.216838243E1,4.092570316E1,2.934306428E1,1.210458437E2,4.690000057E0,1.936999969E2,7.585000038E0,0.000000000E0
5.319346493E1,4.092554985E1,2.934298511E1,1.210450439E2,7.869999886E0,1.956999969E2,7.585000038E0,0.000000000E0
5.419346336E1,4.092538018E1,2.934283893E1,1.220440505E2,1.300000000E1,2.055000000E2,7.585000038E0,0.000000000E0
5.516885352E1,4.092524849E1,2.934273527E1,1.220432976E2,1.385999966E1,2.070000000E2,9.101999283E0,0.000000000E0
5.616789727E1,4.092506843E1,2.934261495E1,1.220423079E2,1.775000000E1,2.066999969E2,7.585000038E0,0.000000000E0
5.717160550E1,4.092492075E1,2.934251614E1,1.220414960E2,1.925000000E1,2.063000031E2,6.067999840E0,0.000000000E0
5.816814596E1,4.092473198E1,2.934238799E1,1.260404548E2,2.045999908E1,2.058999939E2,6.067999840E0,0.000000000E0
5.917784211E1,4.092456733E1,2.934228548E1,1.270395639E2,2.055999947E1,2.053999939E2,6.067999840E0,0.000000000E0
6.017833805E1,4.092438064E1,2.934215922E1,1.270385353E2,2.160000038E1,2.061999969E2,6.067999840E0,0.000000000E0
6.116832357E1,4.092417855E1,2.934201944E1,1.280374162E2,2.350000000E1,2.073999939E2,4.550999641E0,0.000000000E0
6.219395768E1,4.092397719E1,2.934187376E1,1.290362895E2,2.414999962E1,2.083000031E2,4.550999641E0,0.000000000E0
6.318197247E1,4.092376580E1,2.934172992E1,1.290351235E2,2.497999954E1,2.081999969E2,4.550999641E0,0.000000000E0
6.416868617E1,4.092356885E1,2.934158046E1,1.290340088E2,2.547999954E1,2.086000061E2,1.365299988E1,0.000000000E0
6.516934664E1,4.092335825E1,2.934142175E1,1.290328189E2,2.663999939E1,2.083000031E2,1.365299988E1,0.000000000E0
6.616778476E1,4.092314259E1,2.934126454E1,1.300316105E2,2.706999969E1,2.081999969E2,1.365299988E1,0.000000000E0
6.716830008E1,4.092291451E1,2.934110268E1,1.320303407E2,2.788999939E1,2.081999969E2,1.365299988E1,0.000000000E0
6.816706909E1,4.092268350E1,2.934093029E1,1.340290391E2,2.854999924E1,2.083999939E2,1.365299988E1,0.000000000E0
6.916872143E1,4.092244806E1,2.934075848E1,1.340277200E2,2.939999962E1,2.086999969E2,1.365299988E1,0.000000000E0
7.016946945E1,4.092220931E1,2.934058159E1,1.350263775E2,3.021999931E1,2.086000061E2,1.365299988E1,0.000000000E0
7.116893398E1,4.092195749E1,2.934040248E1,1.350249755E2,3.104999924E1,2.081999969E2,1.365299988E1,0.000000000E0
7.216904461E1,4.092171561E1,2.934023003E1,1.350236282E2,3.170000076E1,2.083000031E2,1.365299988E1,0.000000000E0
7.316885424E1,4.092147256E1,2.934005889E1,1.360222785E2,3.029000092E1,2.088999939E2,1.365299988E1,0.000000000E0
7.416832330E1,4.092124982E1,2.933990730E1,1.360210515E2,2.812999916E1,2.081999969E2,1.365299988E1,0.000000000E0
7.516628846E1,4.092106225E1,2.933976469E1,1.380199907E2,2.539999962E1,2.091000061E2,1.365299988E1,0.000000000E0
7.616643450E1,4.092094307E1,2.933969312E1,1.370193518E2,1.887000084E1,2.091999969E2,1.365299988E1,0.000000000E0
7.716668757E1,4.092080480E1,2.933959051E1,1.390185746E2,1.807999992E1,2.086999969E2,1.365299988E1,0.000000000E0
7.816757773E1,4.092065236E1,2.933949219E1,1.380177451E2,1.813999939E1,2.080000000E2,1.365299988E1,0.000000000E0
7.916646179E1,4.092050544E1,2.933940398E1,1.380169577E2,1.820000076E1,2.080000000E2,1.365299988E1,0.000000000E0
8.017398903E1,4.092036269E1,2.933930771E1,1.370161733E2,1.821999931E1,2.085000000E2,1.365299988E1,0.000000000E0
8.117480820E1,4.092021750E1,2.933919599E1,1.370153501E2,1.868000031E1,2.103000031E2,1.365299988E1,0.000000000E0
8.216789991E1,4.092006635E1,2.933907906E1,1.360144921E2,1.897999954E1,2.111999969E2,1.365299988E1,0.000000000E0
8.316566122E1,4.091991348E1,2.933895659E1,1.350136166E2,1.910000038E1,2.115000000E2,1.365299988E1,0.000000000E0
8.416644924E1,4.091977324E1,2.933883512E1,1.340127967E2,1.895000076E1,2.116999969E2,1.365299988E1,0.000000000E0
8.516689616E1,4.091962581E1,2.933871687E1,1.340119523E2,1.892000008E1,2.120000000E2,1.365299988E1,0.000000000E0
8.616727757E1,4.091948194E1,2.933859662E1,1.330111193E2,1.887000084E1,2.123000031E2,1.365299988E1,0.000000000E0
8.716600121E1,4.091933522E1,2.933847446E1,1.330102709E2,1.887000084E1,2.133999939E2,1.365299988E1,0.000000000E0
8.816562679E1,4.091919301E1,2.933835017E1,1.330094377E2,1.881999969E1,2.145000000E2,1.365299988E1,0.000000000E0
8.916764403E1,4.091905347E1,2.933822735E1,1.320086187E2,1.887000084E1,2.153000031E2,1.365299988E1,0.000000000E0
9.016851173E1,4.091891293E1,2.933809702E1,1.310077817E2,1.900000000E1,2.161000061E2,1.365299988E1,0.000000000E0
9.116825809E1,4.091878327E1,2.933796272E1,1.300069837E2,1.881999969E1,2.176000061E2,1.365299988E1,0.000000000E0
9.216879663E1,4.091865984E1,2.933782837E1,1.290062122E2,1.854000092E1,2.193000031E2,1.365299988E1,0.000000000E0
9.316847324E1,4.091852498E1,2.933768031E1,1.290053670E2,1.861000061E1,2.211999969E2,1.365299988E1,0.000000000E0
9.417366876E1,4.091841220E1,2.933753722E1,1.280046248E2,1.855999947E1,2.218999939E2,1.365299988E1,0.000000000E0
9.517280996E1,4.091829526E1,2.933739190E1,1.280038609E2,1.865999985E1,2.241000061E2,1.365299988E1,0.000000000E0
9.616737408E1,4.091817602E1,2.933723368E1,1.270030637E2,1.845999908E1,2.236999969E2,1.365299988E1,0.000000000E0
9.716774579E1,4.091806472E1,2.933708432E1,1.270023165E2,1.839999962E1,2.325000000E2,1.365299988E1,0.000000000E0
9.816954861E1,4.091794932E1,2.933692278E1,1.270015296E2,1.875000000E1,2.261000061E2,1.365299988E1,0.000000000E0
9.917679777E1,4.091784658E1,2.933676217E1,1.280007983E2,1.853000069E1,2.286000061E2,1.365299988E1,0.000000000E0
1.001858788E2,4.091773484E1,2.933659219E1,1.270000116E2,1.857999992E1,2.310000000E2,1.365299988E1,0.000000000E0
