"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.587880288E0,9.735107422E-3,-5.065917969E-3,-2.436828613E-2
8.688069497E0,-1.477050781E-2,-2.105712891E-2,-2.648925781E-2
8.788289224E0,2.273559570E-3,-1.145935059E-2,-2.862548828E-2
8.888478433E0,-6.240844727E-3,1.409912109E-2,-2.542114258E-2
8.988698159E0,-6.240844727E-3,-4.013061523E-3,-2.116394043E-2
9.088917886E0,-8.377075195E-3,-5.065917969E-3,-2.436828613E-2
9.189107095E0,-3.051757812E-3,-1.876831055E-3,-1.797485352E-2
9.289326822E0,1.080322266E-2,-9.338378906E-3,-1.051330566E-2
9.389546548E0,-7.308959961E-3,-8.270263672E-3,-1.477050781E-2
9.489735757E0,-5.172729492E-3,3.448486328E-3,-1.690673828E-2
9.589924966E0,-3.051757812E-3,1.327514648E-3,-1.158142090E-2
9.690144693E0,-9.445190430E-3,3.448486328E-3,-1.158142090E-2
9.790333902E0,-9.155273438E-4,6.652832031E-3,-1.370239258E-2
9.890584146E0,-4.119873047E-3,7.705688477E-3,-1.158142090E-2
9.990803872E0,1.220703125E-3,-8.087158203E-4,-5.187988281E-3
1.009096256E1,-8.377075195E-3,6.652832031E-3,-5.187988281E-3
1.019118229E1,9.735107422E-3,-1.571655273E-2,-1.158142090E-2
1.029137150E1,-1.983642578E-3,8.773803711E-3,-5.187988281E-3
1.039159123E1,-1.049804688E-2,3.448486328E-3,-8.377075195E-3
1.049178044E1,7.598876953E-3,-2.317810059E-2,-1.690673828E-2
1.059200016E1,1.220703125E-3,4.516601562E-3,-5.187988281E-3
1.069218937E1,-1.902770996E-2,5.584716797E-3,-1.158142090E-2
1.079237858E1,1.826477051E-2,-2.317810059E-2,-1.158142090E-2
1.089259831E1,1.506042480E-2,1.091003418E-2,-3.051757812E-3
1.099281803E1,-1.156616211E-2,2.902221680E-2,-4.119873047E-3
1.109300724E1,-1.049804688E-2,3.009033203E-2,-5.187988281E-3
1.119322697E1,-1.156616211E-2,2.474975586E-2,-4.119873047E-3
1.129341618E1,5.477905273E-3,1.730346680E-2,-5.187988281E-3
1.139363590E1,3.341674805E-3,-1.876831055E-3,-9.445190430E-3
1.149382511E1,-6.240844727E-3,4.516601562E-3,-8.377075195E-3
1.159404484E1,-1.049804688E-2,1.197814941E-2,-1.158142090E-2
1.169423405E1,2.038574219E-2,-4.013061523E-3,-1.998901367E-3
1.179445378E1,-4.119873047E-3,8.773803711E-3,-5.187988281E-3
1.189464298E1,-4.119873047E-3,1.327514648E-3,-5.187988281E-3
1.199486271E1,-6.240844727E-3,2.049255371E-2,-7.324218750E-3
1.209505192E1,3.341674805E-3,1.623535156E-2,-9.307861328E-4
1.219527165E1,-1.689147949E-2,6.950378418E-2,1.373291016E-4
1.229546086E1,-4.119873047E-3,2.688598633E-2,-5.187988281E-3
1.239571110E1,-1.049804688E-2,7.705688477E-3,-4.119873047E-3
1.249586979E1,-4.119873047E-3,2.593994141E-4,-5.187988281E-3
1.259608952E1,2.273559570E-3,-1.145935059E-2,-7.324218750E-3
1.269630924E1,3.341674805E-3,-2.317810059E-2,-9.445190430E-3
1.279649845E1,1.525878906E-4,-4.013061523E-3,-9.307861328E-4
1.289671818E1,-9.155273438E-4,-5.065917969E-3,-4.119873047E-3
1.299690739E1,1.506042480E-2,-1.359558105E-2,2.273559570E-3
1.309712712E1,8.666992188E-3,-4.013061523E-3,-9.307861328E-4
1.319731632E1,1.220703125E-3,-8.270263672E-3,-5.187988281E-3
1.329753605E1,-1.583862305E-2,2.262878418E-2,-1.998901367E-3
1.339775578E1,1.187133789E-2,-7.202148438E-3,-6.256103516E-3
1.349794499E1,-9.155273438E-4,-4.013061523E-3,-7.324218750E-3
1.359813420E1,1.292419434E-2,-1.145935059E-2,-6.256103516E-3
1.369835392E1,-1.049804688E-2,5.584716797E-3,-7.324218750E-3
1.379854313E1,-1.049804688E-2,1.730346680E-2,-5.187988281E-3
1.389876286E1,6.546020508E-3,-1.145935059E-2,-7.324218750E-3
1.399895207E1,1.525878906E-4,1.409912109E-2,-1.051330566E-2
1.409917179E1,2.273559570E-3,-1.876831055E-3,-7.324218750E-3
1.419939152E1,-4.119873047E-3,-7.202148438E-3,-1.051330566E-2
1.429958073E1,3.341674805E-3,1.197814941E-2,-1.051330566E-2
1.439980045E1,-7.308959961E-3,2.262878418E-2,-1.158142090E-2
1.449998966E1,-5.172729492E-3,-1.145935059E-2,-1.051330566E-2
1.460020939E1,1.292419434E-2,-2.424621582E-2,-9.445190430E-3
1.470039860E1,-1.983642578E-3,-1.785278320E-2,-8.377075195E-3
1.480061833E1,-1.156616211E-2,-9.338378906E-3,-1.264953613E-2
1.490083805E1,-1.370239258E-2,-5.065917969E-3,-1.370239258E-2
1.500102726E1,-6.240844727E-3,-2.944946289E-3,-1.690673828E-2
1.510121647E1,-2.328491211E-2,9.841918945E-3,-1.904296875E-2
1.520143620E1,8.666992188E-3,1.091003418E-2,-1.264953613E-2
1.530162541E1,1.506042480E-2,-6.134033203E-3,-1.904296875E-2
1.540187565E1,-8.377075195E-3,-1.039123535E-2,-2.223205566E-2
1.550206486E1,-3.820800781E-2,-3.596496582E-2,-2.542114258E-2
1.560225407E1,1.220703125E-3,5.584716797E-3,-1.904296875E-2
1.570247379E1,1.826477051E-2,1.327514648E-3,-1.051330566E-2
1.580266300E1,1.506042480E-2,3.646850586E-2,-1.264953613E-2
1.590288273E1,-1.049804688E-2,3.434753418E-2,-1.904296875E-2
1.600307194E1,6.546020508E-3,1.197814941E-2,-6.256103516E-3
1.610326715E1,-1.477050781E-2,-8.087158203E-4,-1.583862305E-2
1.620348688E1,6.546020508E-3,-7.202148438E-3,-1.477050781E-2
1.630367609E1,6.546020508E-3,-5.065917969E-3,-1.583862305E-2
1.640389581E1,2.273559570E-3,2.156066895E-2,-1.264953613E-2
1.650408502E1,-6.240844727E-3,7.705688477E-3,-2.009582520E-2
1.660430475E1,-7.308959961E-3,-2.105712891E-2,-1.477050781E-2
1.670449396E1,-1.263427734E-2,-1.039123535E-2,-1.370239258E-2
1.680471369E1,2.273559570E-3,-1.252746582E-2,-1.477050781E-2
1.690493341E1,1.525878906E-4,-1.252746582E-2,-1.904296875E-2
1.700512262E1,-1.689147949E-2,3.434753418E-2,-1.690673828E-2
1.710531183E1,8.666992188E-3,1.304626465E-2,-1.690673828E-2
1.720553156E1,1.220703125E-3,1.942443848E-2,-1.051330566E-2
1.730572077E1,1.292419434E-2,1.327514648E-3,-1.690673828E-2
1.740597101E1,9.735107422E-3,-9.338378906E-3,-9.445190430E-3
1.750616022E1,1.080322266E-2,-5.065917969E-3,-9.445190430E-3
1.760634943E1,2.273559570E-3,-5.065917969E-3,-7.324218750E-3
1.770656915E1,-9.155273438E-4,2.380371094E-3,-6.256103516E-3
1.780675836E1,-8.377075195E-3,-1.876831055E-3,-1.998901367E-3
1.790697809E1,-8.377075195E-3,2.688598633E-2,-9.307861328E-4
1.800719782E1,-7.308959961E-3,2.380371094E-3,-3.051757812E-3
1.810738702E1,-1.263427734E-2,2.262878418E-2,-4.119873047E-3
1.820757623E1,1.220703125E-3,-1.876831055E-3,-6.256103516E-3
1.830779596E1,1.506042480E-2,-1.678466797E-2,-4.119873047E-3
1.840801569E1,-8.377075195E-3,2.581787109E-2,1.205444336E-3
1.850820490E1,1.220703125E-3,8.773803711E-3,-8.377075195E-3
1.860839411E1,8.666992188E-3,-2.210998535E-2,-6.256103516E-3
1.870861383E1,-1.983642578E-3,2.156066895E-2,-4.119873047E-3
1.880883356E1,-1.370239258E-2,1.942443848E-2,-5.187988281E-3
1.890908380E1,5.477905273E-3,-2.210998535E-2,-3.051757812E-3
1.900924249E1,3.341674805E-3,-6.134033203E-3,1.373291016E-4
1.910943170E1,-5.172729492E-3,6.652832031E-3,-8.377075195E-3
1.920965143E1,4.409790039E-3,4.516601562E-3,-7.324218750E-3
1.930984064E1,-1.156616211E-2,3.221130371E-2,-1.998901367E-3
1.941006036E1,1.525878906E-4,1.942443848E-2,-8.377075195E-3
1.951028009E1,7.598876953E-3,1.409912109E-2,-9.307861328E-4
1.961049982E1,-9.155273438E-4,1.091003418E-2,-7.324218750E-3
1.971068903E1,-3.051757812E-3,-1.145935059E-2,-1.158142090E-2
1.981087824E1,-1.156616211E-2,1.730346680E-2,-2.330017090E-2
1.991109796E1,1.525878906E-4,-2.944946289E-3,-1.797485352E-2
2.001128717E1,-9.892272949E-2,5.584716797E-3,-8.827209473E-2
2.011150690E1,-1.607055664E-1,-1.785278320E-2,-1.181030273E-1
2.021169611E1,-1.947937012E-1,-3.489685059E-2,-1.244964600E-1
2.031191583E1,-7.242279053E-1,1.184997559E-1,-7.199859619E-1
2.041210504E1,4.275512695E-2,2.049255371E-2,-1.490020752E-1
2.051235529E1,-2.778930664E-1,6.311035156E-2,-2.960052490E-1
2.061254450E1,1.567382812E-1,2.793579102E-1,-1.083236694E0
2.071273370E1,4.528808594E-1,6.426086426E-1,-1.447555542E0
2.081295343E1,5.128479004E-2,-1.371612549E-1,-1.555145264E0
2.091314264E1,2.464294434E-2,-4.013061523E-3,-2.438049316E-1
2.101336237E1,1.109313965E-1,3.059844971E-1,-1.690673828E-2
2.111355158E1,4.489135742E-2,-1.211853027E-1,-9.458160400E-1
2.121377130E1,8.666992188E-3,1.248931885E-1,-3.375549316E-1
2.131396051E1,-7.655334473E-2,2.218322754E-1,-8.062591553E-1
2.141421076E1,2.813720703E-1,-1.327056885E0,-1.553955078E-1
2.151436945E1,-1.200408936E0,-1.168334961E0,-1.183364868E0
2.161458917E1,-2.437179565E0,-2.119613647E0,-6.731109619E-1
2.171477838E1,-2.863281250E0,-1.418670654E0,-7.572631836E-1
2.181502863E1,-1.790557861E0,-1.392044067E0,-1.065124512E0
2.191521784E1,6.947021484E-1,-1.203491211E0,-2.032379150E0
2.201540704E1,5.189361572E-1,-4.950866699E-1,-1.982315063E0
2.211562677E1,1.333007812E-1,1.227569580E-1,-1.339965820E0
2.221581598E1,1.226272583E0,6.319580078E-1,-1.150344849E0
2.231603571E1,9.588928223E-1,1.176300049E0,-1.121582031E0
2.241625543E1,-3.713363647E0,1.522521973E0,-3.181457520E-2
2.251644464E1,1.451034546E0,-1.296997070E-1,1.154891968E0
2.261663385E1,1.546173096E-1,1.075103760E0,-5.239715576E-1
2.271685358E1,1.570343018E0,2.399230957E0,4.890899658E-1
2.281704279E1,9.098815918E-1,2.910766602E-1,-2.862548828E-2
2.291726251E1,7.500915527E-1,1.738891602E-1,-7.327575684E-1
2.301748224E1,8.907165527E-1,1.272186279E0,3.271789551E-1
2.311767145E1,1.010025024E0,9.685821533E-1,-4.248962402E-1
2.321789118E1,1.824951172E0,1.238098145E0,-2.736358643E-1
2.331808039E1,-2.491302490E-1,1.227569580E-1,6.405639648E-2
2.341830011E1,1.727142334E-1,-1.233322144E0,-3.051757812E-3
2.351851984E1,-9.999084473E-2,-6.825714111E-1,1.705780029E-1
2.361870905E1,-1.660308838E-1,5.190429688E-1,-3.074645996E-2
2.371892877E1,-8.360900879E-1,1.003875732E-1,-5.133209229E-1
2.381911798E1,-1.347412109E0,6.639099121E-1,-7.753753662E-1
2.391933771E1,2.941589355E-1,2.601776123E-1,-4.779052734E-2
2.401952692E1,1.876373291E-1,-6.229248047E-1,-2.991943359E-1
2.411974665E1,5.477905273E-3,1.696319580E-1,-1.394042969E-1
2.421993585E1,3.772583008E-1,1.942443848E-2,-2.009582520E-2
2.432015558E1,2.464294434E-2,8.760070801E-2,8.323669434E-2
2.442037531E1,-3.051757812E-3,-1.126556396E-1,1.066589355E-1
2.452056452E1,4.273223877E-1,-3.587341309E-1,-2.672424316E-1
2.462078424E1,-1.596374512E-1,3.114318848E-2,-2.065277100E-1
2.472097345E1,1.855010986E-1,1.089172363E-1,9.719848633E-3
2.482119318E1,-6.376647949E-2,-1.105346680E-1,6.405639648E-2
2.492138239E1,5.767822266E-2,-1.190490723E-1,-2.436828613E-2
2.502160211E1,9.176635742E-2,-3.915405273E-2,-5.738830566E-2
2.512179132E1,3.636169434E-2,-1.020050049E-1,-9.307861328E-4
2.522204157E1,6.405639648E-2,2.902221680E-2,-9.307861328E-4
2.532223078E1,1.290435791E-1,3.114318848E-2,3.103637695E-2
2.532226129E1,-2.746887207E-1,-5.845794678E-1,-7.336425781E-2
2.542248102E1,-4.035797119E-1,-7.997589111E-1,-3.098602295E-1
2.552267023E1,-7.114562988E-1,-8.221282959E-1,-4.035949707E-1
2.562288996E1,4.219970703E-1,1.557769775E-1,2.643280029E-1
2.572310968E1,2.100067139E-1,-1.041412354E-1,1.109313965E-1
2.582332941E1,2.590026855E-1,4.689788818E-1,3.570098877E-1
2.592348810E1,2.302398682E-1,5.797576904E-1,3.103637695E-2
2.602370783E1,-1.276855469E-1,6.394195557E-1,1.024017334E-1
2.612389704E1,3.474273682E-1,1.461944580E-1,-1.053161621E-1
2.622411676E1,2.526092529E-1,1.461944580E-1,-5.187988281E-3
2.632430597E1,9.388732910E-2,2.591094971E-1,2.163848877E-1
2.642452570E1,1.333007812E-1,1.696319580E-1,1.503448486E-1
2.652474542E1,8.110046387E-2,8.334350586E-2,7.151794434E-2
2.662493463E1,1.024169922E-1,2.718963623E-1,6.831359863E-2
2.672515436E1,1.045379639E-1,-1.998901367E-2,3.422546387E-2
2.682534357E1,-1.159667969E-1,-2.106628418E-1,2.038574219E-2
2.692556330E1,-2.967834473E-2,1.153106689E-1,-5.525207520E-2
2.702578302E1,2.078704834E-1,3.443298340E-1,6.724548340E-2
2.712597223E1,4.168701172E-2,1.643066406E-1,2.250671387E-2
2.722619196E1,-1.713562012E-1,-1.446228027E-1,-3.395080566E-2
2.732641168E1,-2.221679688E-2,-8.070373535E-2,-1.202392578E-1
2.742660089E1,-1.255493164E-1,-4.235839844E-2,2.273559570E-3
2.752679010E1,-1.468658447E-1,-1.968231201E-1,-6.910705566E-2
2.762700983E1,1.399230957E-2,-1.446228027E-1,-5.187988281E-3
2.772722956E1,4.168701172E-2,1.131744385E-1,8.323669434E-2
2.782744928E1,-1.010589600E-1,2.688598633E-2,5.020141602E-2
2.792763849E1,-1.947937012E-1,-1.318359375E-1,-3.288269043E-2
2.802782770E1,-1.021118164E-1,-1.861724854E-1,-6.378173828E-2
2.812804743E1,-1.607055664E-1,-6.259155273E-2,-2.139739990E-1
2.822826715E1,-4.398040771E-1,-3.949584961E-1,-2.608489990E-1
2.832845636E1,-1.119445801E0,-6.953582764E-1,-4.898834229E-1
2.842867609E1,-4.504547119E-1,-7.528839111E-1,-6.699066162E-1
2.852886530E1,-1.739425659E0,-1.988586426E0,-3.929443359E-1
2.862908502E1,-4.472656250E-1,-1.184310913E0,-1.628417969E-1
2.872930475E1,-1.902770996E-2,-3.907012939E-1,4.496765137E-1
2.882949396E1,-5.463256836E-1,-3.661956787E-1,6.829681396E-1
2.892971369E1,7.863159180E-1,6.415405273E-1,5.340576172E-2
2.902990290E1,1.315750122E0,2.761535645E-1,8.323669434E-2
2.913012262E1,1.167678833E0,-3.715209961E-1,-3.535308838E-1
2.923031183E1,9.311828613E-1,3.730926514E-1,1.076049805E0
2.933053156E1,1.089920044E0,-3.065338135E-1,4.251861572E-1
2.943075128E1,-8.506774902E-2,-2.713928223E-1,1.333007812E-1
2.953094049E1,-1.159667969E-1,2.262878418E-2,1.482086182E-1
2.963116022E1,-5.207672119E-1,3.198394775E-1,1.396942139E-1
2.973137994E1,1.066741943E-1,-1.307678223E-1,-1.308898926E-1
2.983159967E1,-1.702880859E-1,1.003875732E-1,-2.223205566E-2
2.993175836E1,1.791076660E-1,-3.170776367E-2,5.462646484E-3
3.003197809E1,-5.418395996E-2,-2.957153320E-2,1.292419434E-2
3.013216730E1,7.258605957E-2,-1.286468506E-1,-1.255645752E-1
3.023238703E1,1.556701660E-1,-1.083984375E-1,-2.330017090E-2
3.033263727E1,-1.660308838E-1,-7.005310059E-2,-5.099487305E-2
3.043285700E1,1.045379639E-1,9.826660156E-2,1.322326660E-1
3.053301569E1,-4.119873047E-3,-5.407714844E-2,-1.904296875E-2
3.063320490E1,2.784729004E-2,4.713439941E-2,-3.927612305E-2
3.073342462E1,-7.762145996E-2,-2.317810059E-2,4.487609863E-2
3.083364435E1,1.088104248E-1,-5.065917969E-3,5.340576172E-2
3.093383356E1,6.300354004E-2,1.461944580E-1,1.801757812E-1
3.103405329E1,2.377014160E-1,3.848114014E-1,3.900299072E-1
3.113424249E1,3.474273682E-1,-2.957153320E-2,1.599273682E-1
3.123449274E1,3.101348877E-1,8.471374512E-1,1.599273682E-1
3.133465143E1,-2.648925781E-2,4.860229492E-1,1.611328125E-2
3.143490167E1,-6.057739258E-2,1.163528442E0,7.554168701E-1
3.153506037E1,-3.023834229E-1,1.403213501E0,8.331756592E-1
3.163528009E1,1.380737305E0,-4.235839844E-2,3.484802246E-1
3.173549982E1,-8.377075195E-3,4.263610840E-1,1.134643555E0
3.183571955E1,-6.549835205E-1,-4.311828613E-1,2.500320435E0
3.193590875E1,1.897583008E-1,6.479339600E-1,1.652359009E0
3.203612848E1,-2.160949707E-1,-9.338378906E-3,6.382293701E-1
3.213631769E1,6.382446289E-1,-7.166748047E-1,2.398223877E-1
3.223650690E1,2.803192139E-1,-7.347717285E-1,-1.745605469E-1
3.233672663E1,2.464294434E-2,-5.153350830E-1,2.046661377E-1
3.243694635E1,1.663360596E-1,-1.038375854E0,7.577514648E-2
3.253713556E1,-2.754211426E-2,-5.281219482E-1,-2.842864990E-1
3.263735529E1,3.026885986E-1,-1.039123535E-2,-3.023986816E-1
3.273754450E1,-5.172729492E-3,-2.531433105E-2,-1.543273926E-1
3.283776422E1,1.525878906E-4,9.399414062E-2,-5.845642090E-2
3.293798395E1,-3.288269043E-2,8.122253418E-2,-9.445190430E-3
3.303817316E1,6.193542480E-2,9.841918945E-3,9.921264648E-2
3.313839288E1,-1.372680664E-1,-1.240783691E0,5.721893311E-1
3.323858209E1,-3.023834229E-1,-7.837829590E-1,-2.438049316E-1
3.333880182E1,-5.708312988E-1,9.664459229E-1,-5.814971924E-1
3.343900068E1,-1.215316772E0,1.589630127E0,-4.462127686E-1
3.353922040E1,-2.605484009E0,1.917724609E0,6.405639648E-2
3.363944013E1,-2.011077881E0,9.653778076E-1,-3.151855469E-1
3.373962934E1,-1.378311157E0,5.722961426E-1,-7.336425781E-2
3.383984907E1,-1.819320679E0,-8.871154785E-1,3.889617920E-1
3.394006879E1,-1.507202148E0,-5.483551025E-1,-5.793609619E-1
3.404025800E1,1.356231689E0,-3.461853027E0,-2.331542969E-1
3.414044721E1,6.819152832E-1,-6.346435547E-1,-7.762145996E-2
3.424066694E1,1.329605103E0,6.969451904E-1,8.363647461E-1
3.434088666E1,1.226501465E-1,-3.459625244E-1,9.780578613E-1
3.444107587E1,-4.003906250E-1,-1.275787354E-1,1.467010498E0
3.454129560E1,1.950653076E0,4.949478149E0,1.467010498E0
3.464148481E1,1.072875977E0,1.785644531E0,-1.477050781E-2
3.474170454E1,-1.170349121E-1,-3.054809570E-1,3.346252441E-1
3.484192426E1,3.742980957E-2,1.483306885E-1,4.145202637E-1
3.494214399E1,-4.779052734E-2,-2.085418701E-1,5.689849854E-1
3.504233320E1,8.033599854E-1,2.122497559E-1,2.313079834E-1
3.514252241E1,5.477905273E-3,-7.202148438E-3,-2.116394043E-2
3.524274213E1,7.598876953E-3,-4.013061523E-3,-3.051757812E-3
3.534296186E1,1.525878906E-4,-1.145935059E-2,-9.445190430E-3
3.544315107E1,2.677917480E-2,-9.988403320E-2,-9.445190430E-3
3.554334028E1,-2.116394043E-2,-1.787109375E-1,5.040130615E-1
3.564356000E1,-7.308959961E-3,6.652832031E-3,-2.009582520E-2
3.574377973E1,5.979919434E-2,3.592529297E-1,-1.473114014E0
3.584396894E1,-1.049804688E-2,1.387329102E-1,-1.244964600E-1
3.594421918E1,3.103637695E-2,-1.158599854E-1,9.494018555E-2
3.604440839E1,-2.435302734E-2,9.841918945E-3,-2.009582520E-2
3.614459760E1,-2.221679688E-2,-4.013061523E-3,-2.969360352E-2
3.624481733E1,1.525878906E-4,8.773803711E-3,-3.181457520E-2
3.634500654E1,-6.240844727E-3,1.197814941E-2,-2.648925781E-2
3.644522626E1,-1.156616211E-2,4.516601562E-3,-3.927612305E-2
3.654544599E1,-1.795959473E-2,4.516601562E-3,-4.885864258E-2
3.664563520E1,-1.049804688E-2,1.409912109E-2,-7.122802734E-2
3.674582441E1,-1.689147949E-2,1.409912109E-2,-8.934020996E-2
3.684604413E1,3.103637695E-2,2.380371094E-3,-7.017517090E-2
3.694626386E1,3.636169434E-2,-8.270263672E-3,-4.353332520E-2
3.704645307E1,6.546020508E-3,-1.876831055E-3,-3.608703613E-2
3.714667280E1,7.598876953E-3,-8.087158203E-4,-2.436828613E-2
3.724686201E1,5.477905273E-3,7.705688477E-3,-5.187988281E-3
3.734708173E1,-1.983642578E-3,-5.065917969E-3,-9.445190430E-3
3.744727094E1,-1.983642578E-3,5.584716797E-3,-6.256103516E-3
3.754749067E1,1.080322266E-2,4.516601562E-3,-8.377075195E-3
3.764771039E1,-4.119873047E-3,1.091003418E-2,-9.445190430E-3
3.774789960E1,4.409790039E-3,7.705688477E-3,-8.377075195E-3
3.784811933E1,-9.155273438E-4,8.773803711E-3,1.205444336E-3
3.794833906E1,1.826477051E-2,2.593994141E-4,1.373291016E-4
