"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.912109375E0,8.650665283E-1,2.530822754E-1,9.945617676E0
7.012268066E0,7.501525879E-1,2.961730957E-1,9.694229126E0
7.112426758E0,6.352233887E-1,2.411193848E-1,9.622406006E0
7.212646484E0,9.991455078E-1,3.871612549E-1,9.349472046E0
7.312805176E0,9.728088379E-1,2.411193848E-1,1.009167480E1
7.412963867E0,7.573242188E-1,2.339324951E-1,9.691833496E0
7.513122558E0,6.663513184E-1,3.368835449E-1,9.320739746E0
7.613316188E0,1.219406128E0,3.440704346E-1,9.679870605E0
7.713474880E0,7.716979980E-1,2.985687256E-1,9.883377075E0
7.813664089E0,8.195800781E-1,2.458953857E-1,9.821121216E0
7.913822780E0,6.280517578E-1,1.884460449E-1,9.414108276E0
