"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.638004909E0,-6.042480469E-3,-1.190185547E-3,-1.506042480E-2
8.738163601E0,3.509521484E-4,-1.290893555E-2,1.049804688E-2
8.838352810E0,6.744384766E-3,-8.651733398E-3,3.051757812E-3
8.938511501E0,-2.853393555E-3,1.478576660E-2,-1.080322266E-2
9.038700710E0,-1.243591309E-2,8.392333984E-3,-2.252197266E-2
9.138889919E0,4.608154297E-3,-1.397705078E-2,1.983642578E-3
9.239048610E0,2.804565430E-2,-1.609802246E-2,1.902770996E-2
9.339207302E0,-4.974365234E-3,-2.258300781E-3,6.240844727E-3
9.439396511E0,-6.042480469E-3,3.067016602E-3,-7.598876953E-3
9.539585720E0,5.676269531E-3,-1.220703125E-4,-1.826477051E-2
9.639744411E0,6.744384766E-3,4.135131836E-3,1.583862305E-2
9.739933620E0,-6.042480469E-3,9.460449219E-4,9.155273438E-4
9.840092311E0,-7.171630859E-4,-6.515502930E-3,-4.409790039E-3
9.940281520E0,4.608154297E-3,-1.220703125E-4,9.155273438E-4
1.004044021E1,3.540039062E-3,1.052856445E-2,9.155273438E-4
1.014062942E1,-2.853393555E-3,9.460449219E-4,-8.666992188E-3
1.024078811E1,2.471923828E-3,-1.502990723E-2,-1.220703125E-3
1.034097732E1,4.608154297E-3,-1.220703125E-4,6.240844727E-3
1.044113601E1,3.509521484E-4,6.271362305E-3,5.172729492E-3
1.054135574E1,-2.853393555E-3,-1.220703125E-4,1.983642578E-3
1.064151443E1,1.419067383E-3,-1.397705078E-2,-4.409790039E-3
1.074167312E1,3.540039062E-3,5.203247070E-3,9.155273438E-4
1.084186233E1,-4.974365234E-3,8.392333984E-3,-2.273559570E-3
1.094202102E1,1.419067383E-3,-4.379272461E-3,-5.477905273E-3
1.104217971E1,6.744384766E-3,-1.609802246E-2,-1.525878906E-4
1.114236892E1,1.419067383E-3,7.339477539E-3,-1.525878906E-4
1.124252761E1,2.471923828E-3,7.231140137E-2,-7.791137695E-2
1.134271682E1,-1.029968262E-2,2.117919922E-2,-2.571105957E-2
1.144290603E1,3.540039062E-3,-8.651733398E-3,4.119873047E-3
1.154309524E1,3.509521484E-4,-3.326416016E-3,8.377075195E-3
1.164328445E1,3.509521484E-4,9.460449219E-4,9.445190430E-3
1.174344314E1,3.509521484E-4,-1.220703125E-4,-1.220703125E-3
1.184360183E1,4.608154297E-3,-7.583618164E-3,-1.220703125E-3
1.194379104E1,-6.042480469E-3,9.460449219E-3,-1.506042480E-2
1.204394973E1,2.471923828E-3,2.014160156E-3,1.049804688E-2
1.214413894E1,3.540039062E-3,4.135131836E-3,-1.506042480E-2
1.224429763E1,2.471923828E-3,-9.704589844E-3,-4.409790039E-3
1.234448684E1,-2.853393555E-3,6.271362305E-3,9.445190430E-3
