"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.750123334E0,-2.314758301E-1,4.353027344E-1,-3.849792480E-2
7.850343061E0,1.992797852E-2,7.844543457E-2,3.926086426E-2
7.950562787E0,-1.760711670E-1,2.424926758E-1,-7.598876953E-3
8.050782514E0,-9.405517578E-2,1.349029541E-1,8.720397949E-2
8.151002240E0,4.017639160E-2,3.096008301E-1,-2.038574219E-2
8.251221967E0,-1.202392578E-2,2.701873779E-1,-5.021667480E-2
8.351411176E0,-1.416015625E-2,1.242523193E-1,4.353332520E-2
8.451661420E0,-5.783081055E-2,-3.039855957E-1,-9.176635742E-2
8.551850629E0,9.877014160E-2,-1.644439697E-1,-7.472229004E-2
8.652100873E0,2.952575684E-2,-1.316833496E-2,3.500366211E-2
8.752290082E0,1.248168945E-2,8.270263672E-2,-2.145385742E-2
8.852509809E0,-1.771392822E-1,3.234558105E-1,-6.619262695E-2
8.952729535E0,7.629394531E-4,-9.838867188E-2,1.902770996E-2
9.052949262E0,1.232604980E-1,-9.519958496E-2,1.937255859E-1
9.153138471E0,2.819824219E-1,-3.178405762E-1,2.075805664E-1
9.253358197E0,1.957092285E-1,-3.679046631E-1,4.779052734E-2
9.353577924E0,1.887512207E-2,-9.094238281E-2,6.590270996E-2
9.453797651E0,1.168670654E-1,-8.880615234E-2,5.630493164E-2
9.554017377E0,5.020141602E-3,-1.761627197E-1,1.138305664E-1
9.654237104E0,-4.292297363E-2,1.739501953E-3,3.051757812E-3
9.754456830E0,-3.013610840E-2,2.808380127E-1,-7.598876953E-3
9.854676557E0,1.914367676E-1,3.511505127E-1,1.010589600E-1
9.954865766E0,-1.270751953E-1,-2.443389893E-1,1.607055664E-1
1.005508549E1,7.000732422E-2,-6.011962891E-1,9.678649902E-2
1.015530522E1,-6.315612793E-2,-3.380737305E-1,-1.258544922E-1
1.025552495E1,1.626739502E-1,-1.814880371E-1,-1.506042480E-2
1.035574467E1,-8.766174316E-2,-4.653930664E-3,2.435302734E-2
1.045595370E1,-5.889892578E-2,6.713867188E-4,-4.063415527E-2
1.055614291E1,-2.693176270E-2,-2.809143066E-2,-4.914855957E-2
1.065636264E1,-4.562377930E-3,-2.702331543E-2,-1.506042480E-2
1.075658236E1,3.910827637E-2,-1.849365234E-2,-4.409790039E-3
1.085680209E1,-4.078674316E-2,1.519470215E-1,-8.216857910E-2
1.095699130E1,-8.020019531E-2,1.508789062E-1,-6.300354004E-2
1.105721102E1,-7.594299316E-2,-1.449584961E-3,-9.495544434E-2
1.115743075E1,-1.867218018E-1,2.520751953E-1,-1.056060791E-1
1.125765048E1,3.256683350E-1,-2.091827393E-1,6.269836426E-2
1.135787020E1,-1.877899170E-1,9.016418457E-2,-6.546020508E-3
1.145808993E1,-4.078674316E-2,7.205200195E-2,-6.193542480E-2
1.155827914E1,9.130859375E-2,-5.151367188E-2,-1.826477051E-2
1.165852938E1,3.057861328E-2,-1.742553711E-2,2.967834473E-2
1.175871859E1,3.271484375E-2,4.861450195E-2,-2.891540527E-2
1.185893832E1,-5.036926270E-2,1.444854736E-1,-2.273559570E-3
1.195915805E1,2.723999023E-1,-1.059265137E0,1.788177490E-1
1.205937777E1,-5.372009277E-1,-8.134460449E-2,3.288269043E-2
1.215959750E1,1.243286133E-1,-4.406738281E-2,1.181030273E-1
1.225984774E1,1.200714111E-1,-1.530456543E-2,-2.273559570E-3
1.236003695E1,-3.013610840E-2,9.655761719E-2,-3.210449219E-2
1.246025668E1,3.591918945E-2,-6.323242188E-2,-3.341674805E-3
1.256047641E1,3.378295898E-2,-5.790710449E-2,9.445190430E-3
1.266066561E1,3.485107422E-2,-3.128051758E-2,-8.666992188E-3
1.276088534E1,1.353454590E-2,4.542541504E-2,-1.931762695E-2
1.286110507E1,9.277343750E-3,-8.911132812E-3,5.172729492E-3
1.296132479E1,1.780700684E-2,-5.685424805E-2,7.308959961E-3
1.306154452E1,4.656982422E-2,3.582763672E-2,2.221679688E-2
1.316173373E1,-7.380676270E-2,-1.441955566E-1,-6.619262695E-2
1.326195346E1,3.192749023E-1,7.312011719E-2,1.085052490E-1
1.336220370E1,1.829223633E-1,7.205200195E-2,4.227600098E-1
1.346242343E1,-6.863403320E-1,6.611480713E-1,1.329299927E0
1.356264315E1,-6.053771973E-1,9.018859863E-1,2.555084229E-1
1.366283236E1,-4.860687256E-1,-1.674987793E0,-8.342437744E-1
1.376305209E1,8.171081543E-2,-2.496643066E-1,5.537872314E-1
1.386327182E1,8.369903564E-1,1.136245728E0,-9.921264648E-2
1.396349154E1,-7.843475342E-1,4.598083496E-1,-5.285186768E-1
1.406371127E1,-1.537017822E-1,4.662017822E-1,-4.965667725E-1
1.416393100E1,-2.186889648E-1,7.996215820E-1,-4.635314941E-1
1.426412020E1,-3.465118408E-1,-1.028366089E0,-7.937774658E-1
1.436433993E1,2.276611328E-1,-6.832275391E-1,-1.876373291E-1
1.446455966E1,6.207427979E-1,1.286453247E0,1.583862305E-2
1.456480990E1,7.602844238E-1,3.125091553E0,1.606277466E0
1.466499911E1,-5.957946777E-1,-6.512603760E-1,-3.058776855E-1
1.476521884E1,6.772003174E-1,-8.249053955E-1,-1.045379639E-1
1.486543856E1,-4.317321777E-1,-6.544647217E-1,-3.058776855E-1
1.496565829E1,2.447052002E-1,2.861633301E-1,-1.251831055E0
1.506584750E1,1.552276611E-1,3.468933105E-1,-9.769897461E-1
1.516609774E1,3.246002197E-1,2.107772827E0,-5.189361572E-1
1.526628695E1,-4.562377930E-3,2.482742310E0,-8.587493896E-1
1.536650668E1,-3.944549561E-1,6.558074951E-1,-3.154602051E-1
1.546672641E1,-6.618347168E-1,-1.058502197E-1,-5.317077637E-1
1.556697665E1,-3.710174561E-1,2.286376953E-1,-6.648712158E-1
1.566719638E1,-1.813964844E-1,-5.223693848E-1,-3.516845703E-1
1.576741610E1,-1.047058105E-1,-4.086303711E-2,-2.164001465E-1
1.586763583E1,-3.332519531E-2,1.452636719E-2,-2.891540527E-2
1.596785556E1,7.638549805E-2,5.386352539E-1,2.331390381E-1
1.606804477E1,8.171081543E-2,1.254486084E0,3.684387207E-1
1.616826449E1,-1.522827148E-2,-9.623260498E-1,-3.591461182E-1
1.626848422E1,1.141357422E-2,-1.517318726E0,-2.145385742E-2
1.636870394E1,-9.505157471E-1,-2.595367432E0,8.296966553E-1
1.646892367E1,-1.357452393E0,-7.876129150E-1,1.150344849E0
1.656914340E1,-4.146881104E-1,1.625976562E-1,6.752319336E-1
1.666936312E1,4.992980957E-1,8.986968994E-1,1.333557129E0
1.676958285E1,-1.267974854E0,-1.197738647E0,7.189025879E-1
1.686977206E1,1.626739502E-1,1.146545410E-1,2.619018555E-1
1.697002230E1,2.489624023E-1,-1.974639893E-1,1.788177490E-1
1.707024203E1,1.136779785E-1,-6.774902344E-3,1.106414795E-1
1.717043124E1,-2.133636475E-1,-3.071899414E-1,-6.193542480E-2
1.727065097E1,7.709503174E-1,1.338348389E-1,5.985260010E-1
1.737084018E1,2.867385864E0,5.926513672E-2,1.528503418E0
1.747105990E1,4.124450684E-2,-1.988174438E0,2.761016846E0
1.757127963E1,9.009094238E-1,-1.202011108E0,1.314392090E0
1.767152987E1,1.200241089E0,-1.425704956E0,3.034515381E-1
1.777171908E1,1.153381348E0,-4.201049805E-1,-2.142639160E-1
1.787193881E1,4.869079590E-2,2.957611084E-1,-6.787261963E-1
1.797218905E1,-5.606384277E-1,6.142730713E-1,-1.791076660E-1
1.807240878E1,-1.152923584E0,5.034790039E-1,-4.060211182E-1
1.817262850E1,1.992797852E-2,-1.282196045E-1,2.981262207E-1
1.827278720E1,1.988983154E-1,-4.086303711E-2,2.542114258E-2
1.837303744E1,3.299255371E-1,-2.858734131E-1,2.542114258E-2
