"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.363557172E0,-2.276123047E0,4.067047119E0,7.570571899E0
8.463776899E0,-2.920166016E0,3.978469849E0,8.339111328E0
8.563996625E0,-1.964874268E0,4.143661499E0,8.087722778E0
8.664216352E0,-1.785308838E0,4.119720459E0,8.080535889E0
8.764405561E0,-1.857131958E0,4.239425659E0,8.181091309E0
8.864625287E0,-1.555465698E0,3.818054199E0,7.759719849E0
8.964845014E0,-1.531524658E0,4.155639648E0,7.704650879E0
9.065064740E0,-1.411819458E0,4.059860229E0,8.959213257E0
9.165284467E0,-1.521942139E0,4.246612549E0,8.171524048E0
9.265504194E0,-1.414215088E0,4.514770508E0,8.470794678E0
9.365723920E0,-1.110153198E0,4.588989258E0,7.790847778E0
9.465943647E0,-1.009582520E0,4.723052979E0,7.788452148E0
9.566132856E0,-7.845306396E-1,4.723052979E0,8.267288208E0
9.666383100E0,-7.917175293E-1,4.598556519E0,8.509094238E0
9.766572309E0,-1.335205078E0,4.545883179E0,8.255310059E0
9.866792035E0,-1.076629639E0,5.223449707E0,8.961608887E0
9.967011762E0,9.584503174E-1,4.660812378E0,7.029479980E0
1.006723149E1,-1.632690430E-3,4.498001099E0,9.505096436E0
1.016745122E1,-6.121520996E-1,4.610534668E0,8.310379028E0
1.026764042E1,-7.270812988E-1,4.852340698E0,8.202636719E0
1.036786015E1,-7.438354492E-1,4.725448608E0,8.430099487E0
1.046806918E1,-8.084716797E-1,4.948120117E0,8.257705688E0
1.056825839E1,-8.372039795E-1,4.699111938E0,8.128417969E0
1.066847811E1,-5.738525391E-1,4.816436768E0,7.941680908E0
1.076869784E1,-9.712829590E-1,4.770950317E0,8.149978638E0
1.086891757E1,-9.808654785E-1,4.950515747E0,8.552200317E0
1.096913729E1,-8.036956787E-1,4.866714478E0,7.812393188E0
1.106932650E1,-1.404632568E0,4.517150879E0,7.956039429E0
1.116954623E1,-1.306472778E0,4.490814209E0,7.814788818E0
1.126976596E1,-1.258590698E0,4.598556519E0,8.224197388E0
1.136998568E1,-1.141265869E0,4.548278809E0,9.040618896E0
1.147020541E1,-1.191543579E0,4.632080078E0,7.829147339E0
1.157042514E1,-8.683319092E-1,4.586593628E0,7.699859619E0
1.167064486E1,-7.055206299E-1,4.730239868E0,8.260101318E0
1.177086459E1,-9.976196289E-1,4.684753418E0,8.094909668E0
1.187108432E1,-7.270812988E-1,4.639266968E0,7.946456909E0
1.197127352E1,-2.793579102E-1,4.179580688E0,7.232986450E0
1.207149325E1,-1.062255859E0,4.313644409E0,9.677474976E0
1.217171298E1,-3.751220703E-1,4.639266968E0,8.248138428E0
1.227196322E1,-8.659362793E-1,4.380691528E0,8.276870728E0
1.237215243E1,-8.850860596E-1,4.529129028E0,8.161941528E0
1.247237216E1,-7.510223389E-1,4.603347778E0,8.161941528E0
1.257259188E1,-9.353637695E-1,4.600952148E0,8.372634888E0
1.267281161E1,-7.486267090E-1,4.641662598E0,8.212219238E0
1.277300082E1,-7.965087891E-1,4.663208008E0,7.922515869E0
1.287322055E1,-9.042510986E-1,4.732635498E0,8.030258179E0
1.297344027E1,-7.965087891E-1,4.586593628E0,8.296020508E0
1.307366000E1,-9.736785889E-1,4.651229858E0,8.391784668E0
1.317387973E1,-8.515777588E-1,4.282531738E0,9.270462036E0
1.327409945E1,-8.204498291E-1,4.095779419E0,7.659164429E0
1.337431918E1,-3.516311646E0,3.844390869E0,7.941680908E0
1.347453891E1,-4.517364502E-1,4.373504639E0,6.998367310E0
1.357475863E1,-5.810241699E-1,5.441314697E0,9.842666626E0
1.367494784E1,1.080551147E0,3.676788330E0,7.228210449E0
1.377516757E1,1.461227417E0,3.542724609E0,5.537902832E0
1.387538729E1,1.755371094E-1,3.959304810E0,7.857879639E0
1.397560702E1,-1.426177979E0,4.062255859E0,9.323135376E0
1.407582675E1,-8.539733887E-1,3.185974121E0,8.966400146E0
1.417604647E1,-9.760742188E-1,3.434982300E0,7.532272339E0
1.427626620E1,-1.924179077E0,2.563491821E0,7.958435059E0
1.437648593E1,-2.321609497E0,1.981704712E0,1.042207336E1
1.447667514E1,-4.950439453E0,2.168441772E0,9.828308105E0
1.457692538E1,-4.629623413E0,3.820449829E0,7.764511108E0
1.467711459E1,-6.846649170E0,3.985641479E0,7.599304199E0
1.477733432E1,-5.594787598E-1,2.743057251E0,6.301651001E0
1.487755404E1,-3.820388794E0,4.457305908E0,9.457199097E0
1.497777377E1,-5.144378662E0,2.582641602E0,7.034271240E0
1.507799350E1,-5.067764282E0,3.123733521E0,6.181930542E0
1.517821322E1,-6.070938110E0,1.663269043E0,4.362350464E0
1.527843295E1,-8.445983887E0,9.976806641E-1,5.279327393E0
1.537865268E1,-8.836242676E0,3.774948120E0,2.636123657E0
1.547884188E1,-1.017698669E1,4.600952148E0,2.348815918E0
1.557909213E1,-8.965515137E0,2.020004272E0,4.266571045E0
1.567931185E1,-8.000656128E0,1.026412964E0,4.034332275E0
1.577953158E1,-9.068466187E0,8.205108643E-1,3.706329346E0
1.587975131E1,-8.345428467E0,5.715179443E-1,4.034332275E0
1.597997103E1,-8.345428467E0,1.035995483E0,2.892303467E0
1.608019076E1,-7.727722168E0,1.016830444E0,1.707168579E0
1.618041049E1,-1.141958618E1,9.976806641E-1,4.091796875E0
1.628063021E1,-7.596038818E0,6.792449951E-1,3.287353516E0
1.638081942E1,-7.964752197E0,1.361602783E0,9.567337036E0
1.648103915E1,-5.252120972E0,5.834808350E-1,7.108489990E0
1.658125888E1,-8.324127197E-1,-7.955780029E-1,8.061386108E0
1.668147860E1,-4.208236694E0,1.622573853E0,6.241790771E0
1.678169833E1,-3.360702515E0,5.619354248E-1,9.232147217E0
1.688191806E1,-5.364639282E0,2.156478882E0,6.184326172E0
1.698213778E1,-3.810806274E0,1.579467773E0,6.907379150E0
1.708235751E1,-4.636810303E0,1.567504883E0,8.884994507E0
1.718257724E1,-3.214645386E0,2.393493652E0,7.352706909E0
1.728276644E1,-4.842712402E0,3.226684570E0,1.099188232E1
1.738298617E1,-2.802841187E0,4.191543579E0,9.792388916E0
1.748320590E1,4.005889893E-1,7.124450684E0,7.031875610E0
1.758342562E1,4.298355103E0,7.866653442E0,9.296798706E0
1.768367587E1,1.382217407E0,6.765319824E0,4.496414185E0
1.778386508E1,8.507080078E-1,8.465194702E0,3.126937866E0
1.788405429E1,1.604873657E0,8.101272583E0,3.134124756E0
1.798430453E1,5.179138184E-1,8.783630371E0,4.546691895E0
1.808452426E1,1.329544067E0,8.132400513E0,5.920974731E0
1.818474398E1,2.385391235E0,7.454849243E0,5.916183472E0
1.828493319E1,1.013504028E0,7.845092773E0,6.545852661E0
1.838515292E1,1.466018677E0,7.701446533E0,3.912231445E0
1.848534213E1,1.398971558E0,7.438079834E0,4.683166504E0
1.858559237E1,1.056610107E0,7.122055054E0,5.068634033E0
1.868584262E1,7.977294922E-2,6.319992065E0,7.048645020E0
1.878603183E1,-6.791839600E-1,6.173950195E0,7.371856689E0
1.888625155E1,6.232604980E-1,5.874664307E0,7.446075439E0
1.898644076E1,-3.036499023E-2,5.747772217E0,7.252151489E0
1.908666049E1,4.508666992E-1,5.754959106E0,7.333541870E0
1.918688021E1,1.300506592E-1,5.762145996E0,7.113281250E0
1.928709994E1,1.396331787E-1,6.317596436E0,7.510726929E0
1.938731967E1,1.751708984E-2,5.673553467E0,8.169128418E0
1.948753939E1,-1.716156006E-1,5.939315796E0,7.163558960E0
1.958775912E1,1.013183594E-1,5.793273926E0,6.481216431E0
1.968797885E1,-2.027435303E-1,5.929733276E0,8.063781738E0
1.978816806E1,-7.585144043E-2,6.286468506E0,6.816406250E0
1.988841830E1,-9.020996094E-2,5.771713257E0,7.805206299E0
1.998863803E1,-3.009033203E-1,5.716659546E0,7.582550049E0
2.008882724E1,-5.379333496E-1,5.493988037E0,8.446853638E0
2.018904696E1,-4.182281494E-1,5.692703247E0,7.498748779E0
2.028926669E1,-6.863708496E-1,5.362304688E0,8.523468018E0
2.038951693E1,-4.804687500E-1,5.316818237E0,8.214614868E0
2.048974488E1,-5.403289795E-1,5.398223877E0,8.135604858E0
2.058996461E1,-8.204498291E-1,5.654403687E0,8.001525879E0
2.069018433E1,-4.230041504E-1,5.357528687E0,7.481994629E0
2.079037354E1,-5.427246094E-1,5.261749268E0,7.862670898E0
2.089059327E1,-4.924468994E-1,5.247390747E0,7.800415039E0
2.099081299E1,-1.189422607E-1,5.228240967E0,7.484390259E0
2.109103272E1,-4.493408203E-1,5.460479736E0,7.493957520E0
2.119125245E1,-3.200531006E-1,5.453292847E0,7.817184448E0
2.129147217E1,-3.918914795E-1,5.683135986E0,7.697463989E0
2.139166138E1,-7.345581055E-2,5.165985107E0,7.074981689E0
2.149188111E1,-7.318572998E-1,5.570602417E0,8.506713867E0
2.159213135E1,-3.032989502E-1,5.288085938E0,8.011108398E0
2.169232056E1,-4.972381592E-1,5.304855347E0,7.857879639E0
2.179257081E1,-2.554168701E-1,5.142044067E0,7.434112549E0
2.189276002E1,-3.894958496E-1,5.304855347E0,7.920135498E0
2.199297974E1,-2.578125000E-1,5.228240967E0,7.833938599E0
2.209319947E1,-2.721710205E-1,5.256973267E0,7.850692749E0
2.219341920E1,-1.859527588E0,7.579345703E0,6.361495972E0
2.229363892E1,-1.035919189E0,5.668762207E0,8.018295288E0
2.239388917E1,-8.683319092E-1,5.587371826E0,5.537902832E0
2.249407838E1,-8.977493286E0,8.019882202E0,1.380986023E1
2.259429810E1,-3.133239746E0,3.470886230E0,7.242568970E0
2.269454835E1,-6.908905029E0,4.778121948E0,4.216293335E0
2.279473756E1,-7.095657349E0,2.783752441E0,2.080673218E0
2.289498780E1,-7.490692139E0,3.619338989E0,6.136444092E0
2.299520753E1,-8.630340576E0,2.637710571E0,3.399871826E0
2.309539674E1,-8.220932007E0,1.166076660E-1,2.152496338E0
2.319561646E1,-8.070083618E0,2.936981201E0,1.544372559E0
2.329583619E1,-9.149871826E0,1.821289062E0,7.518920898E-1
2.339602540E1,-8.453155518E0,2.113372803E0,1.549163818E0
2.349624512E1,-1.072526550E1,-1.985168457E-2,8.213195801E-1
2.359646485E1,-1.294947815E1,1.477355957E-1,-2.082839966E0
2.369671509E1,-1.006445312E1,1.043167114E0,4.358520508E-1
2.379693482E1,-9.042129517E0,7.032012939E-1,1.868591309E-1
2.389715455E1,-8.477111816E0,6.505279541E-1,5.507812500E-1
2.399734376E1,-9.602386475E0,1.453399658E-1,7.375183105E-1
2.409756348E1,-9.054107666E0,5.355987549E-1,8.452606201E-1
2.419778321E1,-8.764404297E0,1.094360352E-1,6.953430176E-2
2.429800294E1,-9.949539185E0,2.803039551E-2,3.472747803E-1
2.439822266E1,-1.000460815E1,4.039154053E-1,-1.359802246E0
2.449844239E1,-8.766799927E0,-3.900146484E-2,-2.622985840E-2
2.459866212E1,-8.388519287E0,-5.657348633E-1,4.167022705E-1
2.469888184E1,-9.260009766E0,-4.627838135E-1,-3.925476074E-1
2.479910157E1,-9.573654175E0,-6.950225830E-1,-1.077285767E0
2.489932130E1,-9.422821045E0,-5.346069336E-1,-1.742874146E0
2.499954102E1,-9.279159546E0,-4.819335938E-1,-1.637527466E0
2.509976075E1,-1.118974304E1,-7.429046631E-1,-2.345275879E-1
2.519998048E1,-8.141921997E0,-6.974182129E-1,-1.460357666E0
2.530020020E1,-8.268814087E0,-6.902313232E-1,-1.879333496E0
